day,hour,minute,second,question,worker,answer,gt
0,0,0,0,426,34,0,1
0,0,0,0,270,1,2,3
0,0,0,0,147,5,3,3
0,0,0,0,530,15,3,3
0,0,0,0,530,1,3,3
0,0,0,0,380,3,0,0
0,0,0,0,87,1,1,1
0,0,0,0,311,101,3,3
0,0,0,0,794,30,3,3
0,0,0,0,582,76,1,1
0,0,0,0,553,1,2,2
0,0,0,0,71,1,2,2
0,0,0,0,412,13,3,3
0,0,0,0,618,13,1,1
0,0,0,0,7,34,1,0
0,0,0,0,652,62,1,0
0,0,0,0,164,14,2,3
0,0,0,0,378,14,2,2
0,0,0,0,125,50,0,0
0,0,0,0,598,13,3,2
0,0,0,0,175,13,1,1
0,0,0,0,166,13,2,2
0,0,0,0,568,1,2,2
0,0,0,0,618,50,1,1
0,0,0,0,321,30,0,0
0,0,0,0,322,3,3,3
0,0,0,0,574,30,0,0
0,0,0,0,761,13,2,2
0,0,0,0,293,50,3,3
0,0,0,0,446,34,3,3
0,0,0,0,427,15,2,3
0,0,0,0,98,15,2,2
0,0,0,0,781,3,1,1
0,0,0,0,129,34,2,2
0,0,0,0,216,15,0,0
0,0,0,0,635,5,2,3
0,0,0,0,687,34,3,3
0,0,0,0,538,50,3,3
0,0,0,0,351,34,2,3
0,0,0,0,581,1,2,2
0,0,0,0,751,30,3,0
0,0,0,0,790,3,0,0
0,0,0,0,332,3,2,2
0,0,0,0,260,50,2,2
0,0,0,0,554,34,2,2
0,0,0,0,716,30,1,1
0,0,0,0,564,76,3,2
0,0,0,0,682,1,1,1
0,0,0,0,97,62,1,1
0,0,0,0,259,34,2,2
0,0,0,0,433,5,0,0
0,0,0,0,31,13,2,2
0,0,0,0,385,14,2,2
0,0,0,0,735,3,2,2
0,0,0,0,488,50,0,0
0,0,0,0,701,3,3,2
0,0,0,0,514,76,2,2
0,0,0,0,632,1,3,3
0,0,0,0,354,5,0,1
0,0,0,0,466,86,1,0
0,0,0,0,745,30,3,3
0,0,0,0,347,3,1,1
0,0,0,0,275,1,1,1
0,0,0,0,427,34,2,3
0,0,0,0,94,13,2,3
0,0,0,0,311,15,3,3
0,0,0,0,211,13,0,0
0,0,0,0,716,50,1,1
0,0,0,0,179,1,2,2
0,0,0,0,193,13,3,3
0,0,0,0,419,34,3,3
0,0,0,0,12,34,0,1
0,0,0,0,418,34,3,3
0,0,0,0,90,13,0,1
0,0,0,0,580,3,3,3
0,0,0,0,546,13,2,2
0,0,0,0,384,13,3,3
0,0,0,0,420,70,1,1
0,0,0,0,29,34,3,3
0,0,0,0,536,14,1,1
0,0,0,0,111,13,3,3
0,0,0,0,556,1,2,2
0,0,0,0,1,1,3,3
0,0,0,0,243,13,1,1
0,0,0,0,438,13,3,3
0,0,0,0,31,1,2,2
0,0,0,0,144,34,1,1
0,0,0,0,750,50,0,1
0,0,0,0,336,14,2,2
0,0,0,0,515,94,1,1
0,0,0,0,621,50,0,0
0,0,0,0,571,50,2,2
0,0,0,0,605,3,2,2
0,0,0,0,733,30,1,0
0,0,0,0,243,15,1,1
0,0,0,0,406,13,1,1
0,0,0,0,713,34,3,3
0,0,0,0,269,1,0,0
0,0,0,0,347,1,1,1
0,0,0,0,709,3,1,1
0,0,0,0,590,76,0,0
0,0,0,0,604,5,2,3
0,0,0,0,92,13,0,0
0,0,0,0,211,1,0,0
0,0,0,0,213,1,1,1
0,0,0,0,11,5,0,0
0,0,0,0,469,14,1,1
0,0,0,0,511,102,2,0
0,0,0,0,610,3,1,1
0,0,0,0,447,62,0,0
0,0,0,0,144,3,1,1
0,0,0,0,692,3,0,0
0,0,0,0,699,3,1,0
0,0,0,0,481,13,1,1
0,0,0,0,2,13,2,2
0,0,0,0,681,14,1,0
0,0,0,0,537,76,2,3
0,0,0,0,151,13,2,3
0,0,0,0,462,34,2,3
0,0,0,0,690,13,2,3
0,0,0,0,626,30,3,3
0,0,0,0,32,34,1,1
0,0,0,0,153,34,2,2
0,0,0,0,71,15,2,2
0,0,0,0,623,13,0,0
0,0,0,0,303,3,3,3
0,0,0,0,41,30,2,2
0,0,0,0,146,76,1,1
0,0,0,0,183,34,3,3
0,0,0,0,172,76,2,2
0,0,0,0,611,13,3,3
0,0,0,0,583,30,3,3
0,0,0,0,135,34,2,2
0,0,0,0,305,76,1,1
0,0,0,0,62,76,0,0
0,0,0,0,459,34,2,2
0,0,0,0,457,13,2,3
0,0,0,0,475,13,0,0
0,0,0,0,13,13,3,3
0,0,0,0,580,1,3,3
0,0,0,0,416,3,3,3
0,0,0,0,351,13,2,3
0,0,0,0,688,62,3,3
0,0,0,0,384,34,3,3
0,0,0,0,749,34,3,2
0,0,0,0,434,34,1,1
0,0,0,0,499,50,3,3
0,0,0,0,618,3,1,1
0,0,0,0,467,3,2,2
0,0,0,0,653,13,3,3
0,0,0,0,242,34,2,2
0,0,0,0,341,62,3,3
0,0,0,0,632,3,3,3
0,0,0,0,96,3,2,2
0,0,0,0,60,34,2,2
0,0,0,0,602,3,2,2
0,0,0,0,425,3,2,2
0,0,0,0,748,34,0,0
0,0,0,0,485,14,2,2
0,0,0,0,756,102,0,0
0,0,0,0,155,3,2,2
0,0,0,0,413,50,2,3
0,0,0,0,368,1,1,0
0,0,0,0,251,13,0,1
0,0,0,0,73,13,1,1
0,0,0,0,394,5,3,3
0,0,0,0,114,13,2,2
0,0,0,0,767,3,1,1
0,0,0,0,654,3,1,1
0,0,0,0,224,13,0,0
0,0,0,0,572,3,0,1
0,0,0,0,502,13,2,2
0,0,0,0,289,76,2,2
0,0,0,0,599,13,0,0
0,0,0,0,61,62,3,3
0,0,0,0,702,14,2,3
0,0,0,0,765,3,2,2
0,0,0,0,758,30,3,3
0,0,0,0,408,79,1,1
