workers,ks,sum_W,sum_W,find
106.0,5,8.57142857142857,5529684509.86441,1
38.0,6,11.999999999999996,5529683979.309722,1
78.0,6,13.224489795918364,49923293.49707575,0
92.0,6,11.999999999999996,49924474.74228907,0
103.0,6,11.999999999999996,5479772358.651022,0
104.0,6,11.999999999999996,15980.988636165937,0
64.0,7,13.71428571428571,5479772951.706365,0
100.0,7,13.71428571428571,6062299985.505411,0
108.0,7,13.71428571428571,6062295196.699722,0
109.0,8,21.79591836734694,11545841675.23318,0
82.0,9,26.59591836734694,13715.1599353628,0
33.0,10,26.49795918367347,49918891.054174274,0
46.0,11,30.612244897959187,11542072988.468166,0
107.0,11,33.63498542274053,6062804938.777747,0
87.0,12,33.20116618075802,11591994026.005363,0
91.0,12,33.453061224489794,5479789576.055619,0
105.0,12,27.42857142857143,5483467845.703052,0
18.0,13,40.04751353602665,5533385697.774633,0
97.0,13,64.36820032469463,6112226799.279472,0
67.0,14,47.03920033319451,11948.885703189137,0
99.0,14,41.25800916284881,4210439.07215408,0
75.0,15,45.781924198250735,6065981194.986573,0
96.0,15,44.95626822157435,11542088613.347013,0
79.0,16,45.220198250728856,104825.72750872993,1
98.0,16,39.67346938775511,5479789195.30831,0
26.0,17,86.43233725219028,6116486995.576791,0
74.0,17,48.92361516034986,11542080789.049421,0
95.0,17,58.74752186588922,6115897898.430067,0
102.0,17,63.873854465401315,107687.87571193089,0
58.0,17,187.57372466842705,5484052060.554792,0
86.0,18,48.28688046647231,11595679749.379202,0
2.0,19,248.46280829081456,13175.86924610123,0
80.0,19,82.84620494618977,11592586602.748943,1
32.0,20,103.00033260349481,6066094544.57054,0
71.0,20,64.77704956268222,11592601863.546194,1
83.0,20,68.47546855476882,6115914957.890504,0
85.0,20,102.93357957993688,11596265037.516481,1
84.0,20,78.29949847427515,11592089205.895666,1
3.0,21,557.3858175502386,6062820609.552172,0
89.0,22,100.87716784673046,6062413917.168296,0
37.0,23,512.2712825619725,11546357141.19324,0
48.0,23,180.03071809356,11546361543.78295,0
88.0,23,141.00623533049054,11596194955.888222,0
52.0,24,1360.316306017507,11542085795.192434,0
14.0,25,8218.626309852052,11596276127.336065,1
68.0,25,99.79815306304585,11592095617.773573,0
72.0,25,156.24376636691915,6112316233.3486395,0
77.0,25,165.38899574256152,11546275595.18079,0
45.0,25,307.5520940514736,5530297625.758273,0
81.0,25,135.1375131110336,11596278959.215893,1
29.0,25,187916629.41811123,11592597277.278994,1
35.0,25,7274.816120787471,5530301516.474574,0
62.0,25,201.19367971975691,11542185883.684425,0
30.0,25,291.550770239216,5533898029.11805,0
41.0,25,976.1521046642722,49934356.09585297,0
61.0,25,456.9113014136655,5530207123.885163,0
66.0,25,610.6607275887666,11596285330.322628,0
8.0,25,530.7177655448138,11596282111.933207,0
16.0,25,6419.381026723784,6112832785.771143,0
59.0,25,819.6783708997253,11596279029.314209,0
31.0,25,418298218905.909,5533993405.8269615,1
53.0,25,519.3521564732176,11596287611.610834,0
4.0,25,244.59040649362808,11596291415.605947,1
10.0,25,2096.092759197946,11592607832.716728,0
15.0,25,1107.4643906637284,11596280619.85245,0
19.0,25,370.3145084124196,6112748371.045115,0
60.0,25,4362.698841554549,50033727.59600261,0
1.0,25,7875.939949979842,5533488228.188394,0
21.0,25,6916.008264366126,5484089263.010896,0
51.0,25,4640.1886340543815,11596293245.917007,0
13.0,25,230649.91283851914,5530312484.691956,0
20.0,25,421942237524.02673,6116522651.588464,1
43.0,25,249743.4413330667,5530312105.62512,0
57.0,26,143.06333040679237,6062409219.423749,1
70.0,26,154.9186054162156,11592600553.972136,0
7.0,26,168.68314521613215,11592596752.718458,0
42.0,26,2784.2039868941215,6062833330.849495,0
49.0,26,190.23232874690453,11542599125.495102,0
17.0,27,577889.1106585844,11596278442.04479,1
24.0,27,192.96394029906673,5483481406.783296,0
65.0,27,198.0833257329951,11596280343.209915,0
73.0,27,395.93646282902307,11592082024.835463,0
94.0,27,243.42169937552293,5533990297.655157,0
55.0,27,1670.2734154542627,5480390743.77456,0
76.0,27,250.82925385002446,5533897209.3553295,0
6.0,27,2804.9525869633167,5530315417.730727,0
23.0,27,100418.9153191841,6116014409.168467,0
25.0,27,3443863509.023129,11546380377.548496,1
39.0,27,934.3236218013512,5530306144.909866,0
40.0,27,131373.8619758521,11542695986.208231,0
69.0,28,312.6579011571977,5533897587.687662,0
90.0,28,331.49578105295467,5533487833.380547,0
9.0,28,16314.6827743991,11546381735.426987,0
22.0,28,843.8300811366821,11596292671.016699,0
44.0,28,777.3974647355219,11596287310.251411,1
54.0,28,36709.4505823613,11596292410.14805,0
56.0,28,1022.2765947907873,11596290489.500832,0
28.0,29,2178.918082230137,11592087118.23812,0
5.0,30,238012.17397271498,11596289060.305113,1
11.0,30,5853036.087383791,11596203506.007502,1
12.0,30,189160.00968227512,11592606482.197857,0
27.0,30,6897.0484815525315,11592608447.193226,0
34.0,30,247142.67476921034,11596290582.162077,0
36.0,30,12014.144020641015,11596293180.64541,0
47.0,30,397211.4518041813,11596278135.897707,0
50.0,30,30979703.166174375,11595784058.125603,1
63.0,30,19238.655048944074,11596290691.98819,1
