day,hour,minute,second,question,worker,answer,gt
0,0,0,0,796,28,2,3
0,0,0,0,235,26,2,2
0,0,0,0,401,41,2,3
0,0,0,0,493,37,0,1
0,0,0,0,648,22,3,2
0,0,0,0,666,9,0,0
0,0,0,0,313,41,2,3
0,0,0,0,259,56,2,2
0,0,0,0,407,50,0,1
0,0,0,0,574,25,0,0
0,0,0,0,616,53,0,0
0,0,0,0,459,22,2,2
0,0,0,0,497,21,2,3
0,0,0,0,726,45,3,3
0,0,0,0,293,28,3,3
0,0,0,0,51,24,3,2
0,0,0,0,278,37,2,2
0,0,0,0,572,22,0,1
0,0,0,0,273,22,3,3
0,0,0,0,142,9,2,2
0,0,0,0,322,17,3,3
0,0,0,0,647,10,0,0
0,0,0,0,180,23,3,3
0,0,0,0,436,7,3,3
0,0,0,0,197,32,3,3
0,0,0,0,340,47,0,1
0,0,0,0,705,61,2,2
0,0,0,0,266,37,1,1
0,0,0,0,28,14,0,2
0,0,0,0,56,22,0,1
0,0,0,0,670,10,2,2
0,0,0,0,799,88,2,2
0,0,0,0,783,43,3,2
0,0,0,0,199,9,2,3
0,0,0,0,86,27,0,0
0,0,0,0,496,28,0,1
0,0,0,0,339,19,3,2
0,0,0,0,229,43,0,0
0,0,0,0,109,47,1,1
0,0,0,0,804,29,1,2
0,0,0,0,146,5,1,1
0,0,0,0,144,90,1,1
0,0,0,0,190,25,2,3
0,0,0,0,378,43,2,2
0,0,0,0,560,26,1,1
0,0,0,0,169,7,1,1
0,0,0,0,331,27,3,3
0,0,0,0,522,14,0,2
0,0,0,0,303,53,2,3
0,0,0,0,236,24,0,0
0,0,0,0,776,5,0,1
0,0,0,0,2,14,2,2
0,0,0,0,553,50,2,2
0,0,0,0,399,50,1,0
0,0,0,0,35,70,3,3
0,0,0,0,258,19,3,3
0,0,0,0,389,10,2,2
0,0,0,0,53,61,1,1
0,0,0,0,300,2,1,1
0,0,0,0,500,9,2,2
0,0,0,0,63,84,0,1
0,0,0,0,12,50,0,1
0,0,0,0,681,8,0,0
0,0,0,0,432,29,2,2
0,0,0,0,584,22,3,3
0,0,0,0,26,22,3,3
0,0,0,0,693,14,0,0
0,0,0,0,446,8,3,3
0,0,0,0,421,42,3,3
0,0,0,0,402,10,0,1
0,0,0,0,189,39,0,0
0,0,0,0,304,23,0,1
0,0,0,0,280,10,3,3
0,0,0,0,342,41,3,3
0,0,0,0,131,5,2,0
0,0,0,0,146,22,1,1
0,0,0,0,546,25,2,2
0,0,0,0,596,39,1,1
0,0,0,0,360,61,0,0
0,0,0,0,188,60,0,0
0,0,0,0,378,29,2,2
0,0,0,0,678,25,3,3
0,0,0,0,447,10,0,0
0,0,0,0,412,23,3,3
0,0,0,0,186,14,2,2
0,0,0,0,464,81,2,2
0,0,0,0,431,65,2,3
0,0,0,0,744,29,2,2
0,0,0,0,147,76,3,3
0,0,0,0,597,21,2,2
0,0,0,0,414,23,3,3
0,0,0,0,274,42,2,2
0,0,0,0,359,9,0,2
0,0,0,0,264,90,1,1
0,0,0,0,588,25,0,1
0,0,0,0,184,17,3,3
0,0,0,0,478,28,3,3
0,0,0,0,62,7,0,0
0,0,0,0,59,23,1,1
0,0,0,0,629,53,3,2
0,0,0,0,297,2,2,2
0,0,0,0,80,53,0,1
0,0,0,0,690,53,3,3
0,0,0,0,461,43,2,3
0,0,0,0,582,8,1,1
0,0,0,0,141,80,3,3
0,0,0,0,125,81,0,0
0,0,0,0,797,19,3,3
0,0,0,0,381,82,3,3
0,0,0,0,504,21,1,0
0,0,0,0,104,14,2,2
0,0,0,0,619,5,1,1
0,0,0,0,314,8,0,0
0,0,0,0,478,9,2,3
0,0,0,0,319,43,3,2
0,0,0,0,58,22,3,3
0,0,0,0,177,5,0,0
0,0,0,0,337,41,3,3
0,0,0,0,74,29,1,1
0,0,0,0,270,69,2,3
0,0,0,0,172,37,2,2
0,0,0,0,466,56,1,0
0,0,0,0,390,25,2,3
0,0,0,0,121,47,0,0
0,0,0,0,290,7,1,1
0,0,0,0,487,22,2,3
0,0,0,0,605,61,3,2
0,0,0,0,428,80,0,0
0,0,0,0,278,49,2,2
0,0,0,0,335,61,0,0
0,0,0,0,708,53,3,3
0,0,0,0,325,25,3,2
0,0,0,0,598,5,3,2
0,0,0,0,679,37,1,0
0,0,0,0,87,43,1,1
0,0,0,0,651,10,3,3
0,0,0,0,731,10,3,3
0,0,0,0,390,47,2,3
0,0,0,0,461,50,2,3
0,0,0,0,412,50,3,3
0,0,0,0,730,53,2,2
0,0,0,0,616,28,0,0
0,0,0,0,324,24,3,3
0,0,0,0,12,43,0,1
0,0,0,0,365,43,1,1
0,0,0,0,701,9,3,2
0,0,0,0,233,28,1,1
0,0,0,0,606,47,1,1
0,0,0,0,644,19,1,1
0,0,0,0,43,43,3,3
0,0,0,0,119,39,0,0
0,0,0,0,491,60,3,3
0,0,0,0,721,21,3,2
0,0,0,0,666,47,0,0
0,0,0,0,39,41,3,3
0,0,0,0,706,41,0,0
0,0,0,0,728,69,0,0
0,0,0,0,24,23,0,1
0,0,0,0,94,23,3,3
0,0,0,0,384,41,2,3
0,0,0,0,281,23,0,0
0,0,0,0,309,37,1,0
0,0,0,0,306,56,0,1
0,0,0,0,488,23,0,0
0,0,0,0,70,25,2,2
0,0,0,0,482,39,3,3
0,0,0,0,63,2,1,1
0,0,0,0,255,53,3,2
0,0,0,0,87,69,1,1
0,0,0,0,692,43,0,0
0,0,0,0,552,23,0,0
0,0,0,0,470,39,3,3
0,0,0,0,500,39,2,2
0,0,0,0,373,23,2,2
0,0,0,0,279,9,1,1
0,0,0,0,692,22,1,0
0,0,0,0,513,22,1,0
0,0,0,0,434,22,0,1
0,0,0,0,457,45,0,3
0,0,0,0,711,50,1,1
0,0,0,0,728,10,0,0
0,0,0,0,171,37,2,2
0,0,0,0,478,27,2,3
0,0,0,0,66,2,3,3
0,0,0,0,772,88,1,1
0,0,0,0,160,8,0,1
0,0,0,0,591,22,1,1
0,0,0,0,759,45,1,1
0,0,0,0,463,23,0,1
0,0,0,0,632,105,3,3
0,0,0,0,449,57,2,3
0,0,0,0,382,19,2,3
0,0,0,0,35,23,3,3
0,0,0,0,147,47,3,3
0,0,0,0,611,43,3,3
0,0,0,0,779,9,1,1
0,0,0,0,284,67,0,1
0,0,0,0,83,21,0,0
0,0,0,0,97,43,1,1
0,0,0,0,491,7,2,3
0,0,0,0,380,21,0,0
0,0,0,0,577,50,2,2
0,0,0,0,168,53,0,0
0,0,0,0,276,24,3,2
0,0,0,0,208,28,1,1
0,0,0,0,628,53,0,0
0,0,0,0,485,50,2,2
0,0,0,0,279,17,1,1
0,0,0,0,236,43,0,0
0,0,0,0,598,8,2,2
0,0,0,0,138,37,2,2
0,0,0,0,236,39,0,0
0,0,0,0,802,39,0,1
0,0,0,0,786,9,0,0
0,0,0,0,543,50,0,0
0,0,0,0,205,53,0,0
0,0,0,0,275,69,1,1
0,0,0,0,99,21,0,0
0,0,0,0,564,25,3,2
0,0,0,0,159,25,0,1
0,0,0,0,224,37,0,0
0,0,0,0,289,17,2,2
0,0,0,0,223,45,2,2
0,0,0,0,329,42,3,3
0,0,0,0,247,23,3,2
0,0,0,0,132,17,1,1
0,0,0,0,63,19,0,1
0,0,0,0,664,69,2,2
0,0,0,0,231,2,1,1
0,0,0,0,96,19,2,2
0,0,0,0,750,27,1,1
0,0,0,0,487,25,3,3
0,0,0,0,324,2,3,3
0,0,0,0,13,43,3,3
0,0,0,0,326,43,3,2
0,0,0,0,801,25,2,2
0,0,0,0,383,47,1,1
0,0,0,0,306,61,0,1
0,0,0,0,581,43,2,2
0,0,0,0,422,22,3,3
0,0,0,0,639,21,3,3
0,0,0,0,704,107,3,3
0,0,0,0,630,61,2,3
0,0,0,0,484,28,3,3
0,0,0,0,408,53,0,1
0,0,0,0,627,2,3,2
0,0,0,0,144,19,1,1
0,0,0,0,657,22,3,3
0,0,0,0,116,14,2,3
0,0,0,0,573,25,3,3
0,0,0,0,320,27,3,3
0,0,0,0,30,27,1,1
0,0,0,0,384,94,3,3
0,0,0,0,431,26,2,3
0,0,0,0,287,22,0,0
0,0,0,0,706,37,0,0
0,0,0,0,670,25,2,2
0,0,0,0,102,27,1,1
0,0,0,0,300,21,1,1
0,0,0,0,129,47,2,2
0,0,0,0,185,21,3,3
0,0,0,0,54,23,1,0
0,0,0,0,39,23,2,3
0,0,0,0,272,39,0,3
0,0,0,0,696,9,1,0
0,0,0,0,291,39,3,3
0,0,0,0,111,27,3,3
0,0,0,0,1,10,2,3
0,0,0,0,552,39,0,0
0,0,0,0,271,47,3,3
0,0,0,0,805,14,0,2
0,0,0,0,564,5,3,2
0,0,0,0,229,9,0,0
0,0,0,0,34,14,0,0
0,0,0,0,286,37,2,2
0,0,0,0,794,5,3,3
0,0,0,0,114,14,2,2
0,0,0,0,72,8,3,3
0,0,0,0,434,47,1,1
0,0,0,0,403,43,1,1
0,0,0,0,617,21,2,2
0,0,0,0,192,41,3,3
0,0,0,0,759,43,1,1
0,0,0,0,325,61,2,2
0,0,0,0,502,9,2,2
0,0,0,0,267,10,3,2
0,0,0,0,291,84,3,3
0,0,0,0,371,8,0,0
0,0,0,0,299,23,0,0
0,0,0,0,302,42,1,0
0,0,0,0,205,14,0,0
0,0,0,0,280,50,3,3
0,0,0,0,105,53,1,1
0,0,0,0,156,21,2,2
0,0,0,0,183,37,2,3
0,0,0,0,24,25,2,1
0,0,0,0,304,29,1,1
0,0,0,0,671,6,2,2
0,0,0,0,184,74,3,3
0,0,0,0,622,25,2,2
0,0,0,0,541,21,3,2
0,0,0,0,589,39,1,1
0,0,0,0,454,22,2,2
0,0,0,0,306,9,0,1
0,0,0,0,20,9,1,1
0,0,0,0,145,9,0,0
0,0,0,0,150,19,3,3
0,0,0,0,233,10,0,1
0,0,0,0,328,53,0,3
0,0,0,0,782,43,2,2
0,0,0,0,426,9,1,1
0,0,0,0,3,19,1,1
0,0,0,0,476,65,1,0
0,0,0,0,483,8,3,3
0,0,0,0,641,43,3,2
0,0,0,0,749,45,2,2
0,0,0,0,191,10,0,1
0,0,0,0,162,42,1,1
0,0,0,0,32,43,1,1
0,0,0,0,118,29,2,2
0,0,0,0,769,25,3,3
0,0,0,0,266,29,1,1
0,0,0,0,587,42,1,1
0,0,0,0,347,50,1,1
0,0,0,0,705,22,2,2
0,0,0,0,435,105,0,0
0,0,0,0,654,37,1,1
0,0,0,0,228,25,2,2
0,0,0,0,660,22,2,2
0,0,0,0,88,37,1,1
0,0,0,0,530,9,3,3
0,0,0,0,80,5,0,1
0,0,0,0,95,9,0,1
0,0,0,0,710,9,3,3
0,0,0,0,708,29,2,3
0,0,0,0,47,26,1,1
0,0,0,0,657,107,2,3
0,0,0,0,701,94,3,2
0,0,0,0,608,10,1,1
0,0,0,0,147,5,3,3
0,0,0,0,548,21,3,2
0,0,0,0,411,10,0,1
0,0,0,0,160,42,0,1
0,0,0,0,368,9,0,0
0,0,0,0,651,29,2,3
0,0,0,0,624,22,0,1
0,0,0,0,519,29,2,2
0,0,0,0,719,28,0,0
