day,hour,minute,second,question,worker,answer,gt
0,0,0,0,147,5,2,2
0,0,0,0,305,6,2,2
0,0,0,0,17,15,2,2
0,0,0,0,281,15,2,2
0,0,0,0,291,6,2,2
0,0,0,0,581,5,1,2
0,0,0,0,479,29,2,2
0,0,0,0,98,2,1,1
0,0,0,0,287,2,2,2
0,0,0,0,702,29,1,1
0,0,0,0,40,22,1,1
0,0,0,0,702,35,2,1
0,0,0,0,547,34,2,2
0,0,0,0,80,23,2,1
0,0,0,0,272,6,1,1
0,0,0,0,475,6,2,2
0,0,0,0,363,29,2,2
0,0,0,0,463,4,2,2
0,0,0,0,613,2,2,2
0,0,0,0,457,4,2,2
0,0,0,0,565,35,1,2
0,0,0,0,800,2,1,1
0,0,0,0,15,6,1,2
0,0,0,0,375,5,2,2
0,0,0,0,318,2,2,1
0,0,0,0,454,5,1,1
0,0,0,0,709,2,2,2
0,0,0,0,528,53,1,1
0,0,0,0,171,2,2,2
0,0,0,0,656,15,1,1
0,0,0,0,250,35,1,1
0,0,0,0,276,42,2,1
0,0,0,0,239,34,2,2
0,0,0,0,143,15,2,2
0,0,0,0,196,2,1,1
0,0,0,0,219,22,1,2
0,0,0,0,107,2,2,2
0,0,0,0,151,23,2,2
0,0,0,0,627,32,2,2
0,0,0,0,399,23,1,2
0,0,0,0,541,22,2,2
0,0,0,0,411,24,2,2
0,0,0,0,259,6,1,2
0,0,0,0,440,6,2,1
0,0,0,0,240,6,1,1
0,0,0,0,481,5,1,2
0,0,0,0,766,49,1,1
0,0,0,0,785,6,2,2
0,0,0,0,405,5,1,2
0,0,0,0,259,29,2,2
0,0,0,0,602,5,2,1
0,0,0,0,497,15,2,2
0,0,0,0,352,29,1,1
0,0,0,0,730,6,1,1
0,0,0,0,442,24,1,1
0,0,0,0,515,45,1,2
0,0,0,0,521,5,1,2
0,0,0,0,575,15,1,2
0,0,0,0,679,2,2,2
0,0,0,0,162,15,1,1
0,0,0,0,637,5,2,2
0,0,0,0,629,23,2,2
0,0,0,0,269,66,1,2
0,0,0,0,768,2,1,1
0,0,0,0,668,32,1,1
0,0,0,0,778,22,1,1
0,0,0,0,654,4,2,1
0,0,0,0,741,23,1,2
0,0,0,0,157,22,2,2
0,0,0,0,795,34,1,2
0,0,0,0,573,5,1,2
0,0,0,0,261,22,1,2
0,0,0,0,158,24,1,1
0,0,0,0,227,2,1,2
0,0,0,0,541,4,2,2
0,0,0,0,251,35,2,2
0,0,0,0,71,32,2,2
0,0,0,0,38,22,2,1
0,0,0,0,473,5,2,2
0,0,0,0,25,45,1,2
0,0,0,0,701,53,2,2
0,0,0,0,793,29,2,2
0,0,0,0,327,6,1,2
0,0,0,0,142,49,1,1
0,0,0,0,375,23,2,2
0,0,0,0,721,53,2,2
0,0,0,0,393,32,2,2
0,0,0,0,766,68,1,1
0,0,0,0,70,2,1,1
0,0,0,0,722,22,1,1
0,0,0,0,366,32,1,1
0,0,0,0,785,5,1,2
0,0,0,0,10,5,1,1
0,0,0,0,182,24,1,1
0,0,0,0,608,6,1,1
0,0,0,0,441,22,2,2
0,0,0,0,211,2,1,2
0,0,0,0,506,6,1,1
0,0,0,0,166,23,2,1
0,0,0,0,5,45,2,2
0,0,0,0,770,2,1,1
0,0,0,0,374,23,2,1
0,0,0,0,273,6,2,2
0,0,0,0,289,6,1,2
0,0,0,0,302,2,1,1
0,0,0,0,784,91,1,1
0,0,0,0,599,53,2,2
0,0,0,0,296,53,1,1
0,0,0,0,436,4,1,1
0,0,0,0,699,23,2,2
0,0,0,0,193,29,1,2
0,0,0,0,762,6,1,1
0,0,0,0,637,24,2,2
0,0,0,0,767,2,2,2
0,0,0,0,77,6,2,2
0,0,0,0,571,70,1,2
0,0,0,0,770,29,1,1
0,0,0,0,594,2,1,1
0,0,0,0,130,2,1,1
0,0,0,0,587,5,2,2
0,0,0,0,681,6,1,2
0,0,0,0,20,2,1,1
0,0,0,0,733,5,2,2
0,0,0,0,64,29,1,1
0,0,0,0,413,4,2,2
0,0,0,0,292,29,1,1
0,0,0,0,527,2,2,2
0,0,0,0,736,6,2,1
0,0,0,0,63,23,1,2
0,0,0,0,620,24,1,1
0,0,0,0,234,79,1,1
0,0,0,0,684,23,1,1
0,0,0,0,543,114,2,2
0,0,0,0,749,2,2,2
0,0,0,0,456,6,2,1
0,0,0,0,755,4,2,2
0,0,0,0,764,4,2,1
0,0,0,0,110,34,2,1
0,0,0,0,189,29,1,2
0,0,0,0,784,4,2,1
0,0,0,0,290,6,1,1
0,0,0,0,102,4,1,1
0,0,0,0,686,4,2,1
0,0,0,0,650,34,2,1
0,0,0,0,311,22,1,2
0,0,0,0,588,6,1,1
0,0,0,0,109,23,1,2
0,0,0,0,633,22,1,2
0,0,0,0,93,4,2,2
0,0,0,0,392,4,1,1
0,0,0,0,59,23,2,2
0,0,0,0,173,45,2,2
0,0,0,0,364,2,1,1
0,0,0,0,304,4,2,1
0,0,0,0,478,35,2,1
0,0,0,0,258,29,1,1
0,0,0,0,96,29,1,1
0,0,0,0,213,49,1,2
0,0,0,0,417,42,2,2
0,0,0,0,573,23,2,2
0,0,0,0,673,5,1,2
0,0,0,0,286,66,2,1
0,0,0,0,797,15,1,2
0,0,0,0,365,4,1,2
0,0,0,0,685,34,2,2
0,0,0,0,394,6,1,1
0,0,0,0,674,112,1,1
0,0,0,0,238,34,2,1
0,0,0,0,732,42,1,1
0,0,0,0,583,2,2,2
0,0,0,0,315,5,1,2
0,0,0,0,439,5,1,2
0,0,0,0,710,6,1,1
0,0,0,0,167,15,2,2
0,0,0,0,50,5,1,1
0,0,0,0,24,5,1,1
0,0,0,0,164,32,1,1
0,0,0,0,775,5,1,2
0,0,0,0,299,29,1,2
0,0,0,0,612,5,1,1
0,0,0,0,55,15,2,2
0,0,0,0,277,22,1,2
0,0,0,0,230,6,1,1
0,0,0,0,484,6,2,1
0,0,0,0,14,23,2,1
0,0,0,0,369,49,2,2
0,0,0,0,660,23,1,1
0,0,0,0,400,15,1,1
0,0,0,0,330,4,2,1
0,0,0,0,641,32,2,2
0,0,0,0,317,23,1,2
0,0,0,0,5,2,2,2
0,0,0,0,360,29,1,1
0,0,0,0,523,75,2,2
0,0,0,0,61,2,2,2
0,0,0,0,73,53,1,2
0,0,0,0,525,32,2,2
0,0,0,0,187,2,2,2
0,0,0,0,285,93,2,2
0,0,0,0,518,35,1,1
0,0,0,0,380,34,1,1
0,0,0,0,690,24,1,1
0,0,0,0,16,4,1,1
0,0,0,0,318,15,1,1
0,0,0,0,537,4,2,2
0,0,0,0,707,35,2,2
0,0,0,0,563,2,2,2
0,0,0,0,651,42,1,2
0,0,0,0,633,23,2,2
0,0,0,0,504,58,1,1
0,0,0,0,384,29,1,1
0,0,0,0,144,22,1,1
0,0,0,0,113,4,2,2
0,0,0,0,756,29,1,1
0,0,0,0,323,15,2,2
0,0,0,0,390,29,1,1
0,0,0,0,248,23,2,1
0,0,0,0,23,5,1,2
0,0,0,0,47,5,2,2
0,0,0,0,421,5,2,2
0,0,0,0,460,2,1,1
0,0,0,0,320,2,1,1
0,0,0,0,344,42,1,1
0,0,0,0,471,4,1,2
0,0,0,0,716,2,1,1
0,0,0,0,355,24,2,2
0,0,0,0,480,24,1,1
0,0,0,0,765,22,2,2
0,0,0,0,77,22,2,2
0,0,0,0,181,4,1,2
0,0,0,0,42,5,1,1
0,0,0,0,36,23,1,1
0,0,0,0,377,70,2,2
0,0,0,0,517,15,2,2
0,0,0,0,786,81,1,1
0,0,0,0,790,5,2,1
0,0,0,0,274,29,1,1
0,0,0,0,717,29,2,2
0,0,0,0,82,6,1,1
0,0,0,0,700,2,1,1
0,0,0,0,252,15,1,1
0,0,0,0,718,4,2,1
0,0,0,0,605,22,1,2
0,0,0,0,783,4,2,2
0,0,0,0,309,2,2,2
0,0,0,0,544,6,1,1
