woekers,ks,Ki,find
107.0,3,1.3681105390344532,0
93.0,4,1.8585251655403163,0
100.0,4,1.8585251655403163,0
113.0,4,1.8585251655403163,0
97.0,5,2.1139379774233116,0
117.0,6,2.2639902736484805,0
118.0,7,2.393745871391023,0
119.0,7,2.4282423071344987,0
120.0,7,2.4605115677032843,0
99.0,7,2.4777122810619505,0
112.0,8,2.5692180060058964,0
90.0,7,2.5759256847396625,0
116.0,9,2.6394736493728663,0
105.0,9,2.7173509140774827,0
115.0,9,2.75694943490808,0
114.0,10,2.7727709047887092,0
109.0,11,2.870558790357011,0
95.0,13,2.9601048219683332,0
108.0,12,2.963446686188032,1
80.0,12,2.963446686188032,1
104.0,13,2.9891586373719736,0
101.0,13,2.9915721577461314,0
111.0,12,3.013983979410855,1
103.0,13,3.034504254345989,0
110.0,15,3.106895719257818,1
79.0,15,3.14237158724396,0
91.0,14,3.230200692563457,0
106.0,17,3.2494851903746493,0
76.0,14,3.2652509316671177,0
86.0,16,3.285781909632965,1
67.0,18,3.329642474511093,0
73.0,16,3.3687545795729106,0
61.0,16,3.3739406962853224,0
102.0,17,3.378887740379681,1
81.0,17,3.396962687389783,0
96.0,18,3.402257481545532,0
89.0,19,3.403427580259299,0
92.0,19,3.462776405233762,0
82.0,18,3.5012024245642013,0
64.0,16,3.5027356034384622,0
77.0,20,3.574355713799261,0
98.0,21,3.6140556697329664,1
56.0,18,3.6456170642617027,0
52.0,18,3.654769005979018,0
87.0,20,3.666851935656413,0
43.0,20,3.7329683166222107,0
70.0,20,3.7567617179342667,0
68.0,21,3.766048923323405,1
63.0,20,3.7718381372676673,0
83.0,22,3.833526263215012,0
71.0,22,3.8555088670032447,0
75.0,22,3.8610808484259413,1
94.0,22,3.8815740594426553,1
88.0,22,3.896239105241964,0
46.0,21,3.9570977763301105,0
78.0,24,3.9637756172322103,0
62.0,22,3.976522258896804,0
69.0,26,3.9866576019018574,1
54.0,21,3.988198815885829,0
85.0,22,3.996556383821685,0
84.0,25,4.017181548013082,1
47.0,21,4.045994921299039,0
74.0,25,4.060922122480624,1
42.0,22,4.0662926669973665,0
50.0,22,4.071562932564531,0
58.0,22,4.116502606808846,0
9.0,20,4.148810455247249,0
27.0,22,4.158780971304408,0
11.0,20,4.201642802086862,0
44.0,21,4.2650923146104915,0
34.0,24,4.282055380217099,0
28.0,22,4.324456524529122,0
35.0,21,4.342000737141874,0
59.0,24,4.36960196684089,0
65.0,23,4.37932628038393,0
1.0,22,4.415103363945606,0
57.0,25,4.422084682021261,1
72.0,26,4.457438183483606,1
12.0,22,4.571030010881056,0
53.0,28,4.610203921014351,0
13.0,25,4.620619722013819,0
60.0,26,4.633099063909916,1
66.0,25,4.665327942677332,1
26.0,22,4.694033003392157,0
49.0,25,4.758783864853558,0
33.0,22,4.849286482872237,0
48.0,25,5.018145263940307,1
55.0,26,5.21444864449354,0
6.0,22,5.301059375050228,0
45.0,28,5.38053201777356,1
19.0,25,5.555647156589201,0
40.0,25,5.560651688620811,1
51.0,28,5.604368062930635,1
36.0,26,5.770565941300162,0
38.0,28,5.924122584497053,0
30.0,28,6.2161685053178655,1
3.0,22,6.7482585062978915,0
32.0,27,6.8470103865444365,0
39.0,28,6.848480182466268,1
37.0,26,7.001981571089221,1
41.0,25,7.322939073481741,0
25.0,28,7.9488955893552635,1
22.0,26,8.122154027828298,1
20.0,28,8.546687098291535,1
23.0,26,8.960373211750701,1
7.0,26,9.621312258179826,0
21.0,25,9.690629043618996,1
31.0,25,9.695262203851705,1
16.0,26,9.719916897535205,0
15.0,25,10.170971336294116,0
18.0,28,10.451516310818272,1
29.0,28,10.792525716307622,1
17.0,25,10.897427131178059,0
8.0,26,11.079414851830858,0
10.0,28,11.295070105727932,1
24.0,25,12.333608563744388,0
2.0,25,12.33889740166246,0
14.0,26,14.144042729652071,1
4.0,28,14.953622652845064,1
5.0,28,15.05031319346199,1
