workers,ks,sum_W,sum_W,find
107.0,1,1.6,3.3319451871498966,0
113.0,2,6.4,19.782375012312908,0
105.0,3,14.08,188464.7377587799,1
117.0,3,11.2,2015094204706.9104,0
90.0,4,19.207111111111114,19872.638931165136,0
93.0,4,16.32,1933402059464.952,1
97.0,4,14.399999999999999,10010.526508064202,0
100.0,4,14.399999999999999,2015094541867.1243,0
115.0,5,20.195555555555558,26796.548596429457,0
118.0,5,17.599999999999998,1933401770611.2395,0
120.0,5,18.560000000000002,43819.097993349445,0
99.0,6,25.358222222222228,1933401678096.4944,0
112.0,6,21.120000000000005,2015094108606.7432,0
95.0,7,20.8,2015094116029.8442,1
109.0,7,24.256000000000007,1933402308899.3108,1
119.0,8,24.03555555555556,1933401753831.735,0
91.0,9,31.118222222222233,33294.28047925263,0
116.0,9,26.88000000000001,3948496502968.6216,1
106.0,10,26.560000000000002,1933401824552.3267,0
114.0,10,29.05600000000001,3948495657426.0527,0
4.0,10,63.819698040229206,249.5452646180982,0
80.0,11,34.595555555555556,3948495956591.3096,0
108.0,11,33.351111111111116,3948496055514.6914,1
111.0,11,36.67200000000001,35974.60354976488,1
82.0,12,40.49493333333334,842312.2871105792,0
102.0,12,35.62666666666667,1933402041151.7834,1
81.0,13,42.247111111111124,204603.2689243126,0
84.0,13,51.883817989418,753988.1524233434,0
101.0,13,34.81600000000001,3948496549721.76,1
110.0,13,33.920000000000016,3948496733319.7783,1
21.0,14,78.90549329556717,777598.9623924956,0
70.0,14,51.93329777777779,172127.41770284952,0
76.0,14,48.4664888888889,3948496678939.3706,0
79.0,14,37.76000000000001,2015094624126.65,1
104.0,14,35.52000000000001,1933401955105.1167,0
22.0,14,86.63057486589732,189502.23503951708,0
86.0,14,43.353600000000014,1933402110487.3838,1
63.0,14,61.78823269183234,568306.3224464114,0
9.0,15,142.52943227120923,33229.42956608073,0
43.0,15,56.85235569848798,359864.8840793138,0
96.0,15,46.61333333333335,1223927.0430361496,0
56.0,15,75.42225551898514,893459.7471235484,0
103.0,15,44.58666666666669,3948495701310.4434,1
67.0,16,44.2168888888889,3948496745462.489,0
5.0,17,169.71363345142424,944140.8841465163,0
12.0,17,287.53217591484287,209341.46511363206,0
45.0,17,81.59270761317754,88753.30140502263,0
66.0,17,72.96486264550263,574431.5243066845,0
77.0,17,68.85281185185185,3948495805853.6187,0
78.0,17,80.23409777777778,1423090.4390854174,0
87.0,17,69.8496,3948496087316.2974,1
89.0,17,56.29582222222225,3948496038889.1978,0
68.0,17,63.627946666666695,1073089.7332317785,0
98.0,17,62.81955555555558,3948495913635.37,1
13.0,17,357.57199179772937,2015093877036.2976,0
28.0,17,167.08303253237298,1933402319615.8765,0
33.0,17,293.40474978006205,2015094620716.9424,0
34.0,17,143.48963401827237,3948496403309.262,0
92.0,18,50.02666666666669,3948496729707.952,0
27.0,19,121.68163395969775,344886.92184662755,0
94.0,19,77.32650666666665,3948496169713.4995,1
6.0,20,380.728441457706,542680.7514791313,0
46.0,20,93.5638645322217,1412420.7070381253,0
58.0,20,104.78915779047614,1254065.2429476606,0
88.0,20,80.53686044444441,2015094789072.6252,0
35.0,20,250.5077191645673,2015094420996.0461,0
64.0,20,148.0830230284573,3948496401909.445,1
57.0,21,132.84198924817457,1933402343305.7747,0
65.0,21,197.1961373361831,2015095097641.3215,0
75.0,21,78.12721777777776,1933402681295.3257,0
83.0,21,86.50808888888884,1933402993165.6843,0
50.0,22,135.6474837487341,3948495964571.864,0
61.0,22,150.18418035132268,3948496967199.038,1
72.0,22,128.0553813797032,2015095353388.6377,0
74.0,22,109.16740740740732,3948496874746.9604,0
10.0,23,1782.4695642712277,2015094473954.3953,0
59.0,23,202.55666793388096,3948497082006.928,1
60.0,23,331.4295104578923,3948496967161.5767,0
73.0,23,95.6201637248677,3948496417743.771,1
25.0,23,216.78192397598738,1933402222473.3706,0
62.0,23,156.68408501322034,3948496426208.118,1
85.0,23,195.28369978785176,3948497092734.024,1
53.0,24,207.37466288496742,391541.8486652224,0
18.0,24,3609.0560918755473,1432482.6939576403,0
36.0,24,1094.481652149863,1933402428759.864,0
71.0,25,127.07266559999994,3948496884823.142,0
7.0,26,406119.9095986742,3948496833352.2974,0
32.0,26,7905.563849436844,3948496507160.748,0
52.0,26,351.82717448153284,3948497073143.7915,1
69.0,26,115.44959593650786,3948497099362.8745,1
14.0,26,7530642.661743884,3948496968115.3486,1
20.0,26,12060.278066095203,3948497091335.011,1
23.0,26,13202828.63128841,3948496862717.101,1
48.0,26,863.6206970368222,3948497099638.577,0
49.0,26,554.1882119611356,3948496879977.115,1
51.0,26,1370.3797038775301,3948497092015.2847,1
55.0,26,512.6049139249944,3948497099659.127,1
37.0,27,4234.9184435342795,3948496425907.721,1
31.0,28,913.063358382883,3948496423162.6143,0
2.0,28,708802.5862692763,3948496877047.321,0
16.0,28,552463.9639387677,3948496718691.9736,0
29.0,28,4970.145073034769,3948496985211.4424,0
40.0,28,9610.926446402578,3948497085104.352,1
