workers,ks,KKKj,find
107.0,1,0.6645012447554657,0
99.0,4,3.606354326155576,0
113.0,2,3.81007384731256,0
93.0,4,4.580561819529551,0
102.0,6,6.979942767465095,0
108.0,8,7.698454954405815,0
4.0,15,8.323712274451033,0
40.0,18,8.454194672921671,0
105.0,5,9.022729546896059,0
112.0,7,9.090946454277663,0
106.0,9,9.18532093360949,0
81.0,15,9.229823829788566,0
43.0,18,9.52640730369199,0
90.0,4,9.58998320496895,0
9.0,18,9.807476077014549,0
22.0,15,9.877827592533004,0
120.0,8,9.933525228401425,0
118.0,3,10.037558437332486,0
100.0,3,10.045263415433462,0
95.0,8,10.082736034187585,1
101.0,11,10.316903861446972,0
97.0,6,10.37639880272439,1
109.0,7,10.510996603769515,0
64.0,15,10.531741516166225,0
71.0,19,10.588186722782506,0
61.0,15,10.590742588542826,0
94.0,15,10.616930811597612,0
80.0,9,10.668734926963777,0
110.0,10,10.686447837931848,0
115.0,10,10.701669067588169,0
114.0,11,10.792492406312675,0
119.0,12,10.840607194109014,0
46.0,18,10.878146617200334,0
42.0,23,10.90002612650165,0
23.0,17,10.904696847768395,0
103.0,12,10.906526852881008,1
104.0,14,10.93985438828615,1
79.0,13,10.94659995513711,0
116.0,11,10.973398222258142,0
91.0,14,11.021164932701783,0
89.0,15,11.058347009326734,0
111.0,11,11.060285550003506,1
98.0,17,11.094726467722323,0
96.0,16,11.115532049229705,0
52.0,14,11.140097531053838,0
68.0,18,11.160665507009126,0
84.0,17,11.269881301049034,0
21.0,15,11.288995050010957,0
63.0,18,11.311524446918433,0
117.0,18,11.335869285317287,1
88.0,20,11.346035833015813,0
67.0,17,11.3467001553085,0
85.0,20,11.34704726774796,0
77.0,20,11.357125616406272,1
92.0,18,11.396325509454293,0
75.0,23,11.412181618310601,1
50.0,22,11.504262473693329,0
87.0,19,11.513188615114338,0
86.0,23,11.541572711799862,0
73.0,17,11.543663981766048,1
45.0,17,11.581536806208943,0
78.0,20,11.646475972548203,0
82.0,20,11.660080845485915,1
58.0,26,11.66805859415695,0
83.0,24,11.674736412209505,0
59.0,20,11.676217226611689,0
1.0,21,11.691958312391534,0
44.0,20,11.763999966654271,0
76.0,20,11.787063297388485,1
60.0,25,11.789017447165996,0
74.0,26,11.791345956040912,0
20.0,20,11.796040376117043,0
28.0,23,11.802640893074727,0
65.0,23,11.808019586620464,0
69.0,26,11.86825988121353,1
53.0,26,11.908231696791056,0
57.0,26,11.944745932241352,0
34.0,24,11.951200214550633,0
49.0,29,11.989132958392288,0
25.0,27,12.038614369776347,0
30.0,26,12.039193048892384,0
14.0,23,12.048880033489883,0
70.0,26,12.058446216971737,1
66.0,26,12.063907366354924,1
72.0,26,12.10356131919573,1
62.0,26,12.151214410195937,1
19.0,27,12.167794158236642,0
26.0,27,12.218753436758638,0
33.0,23,12.239396091648057,0
54.0,26,12.366486248401731,1
55.0,26,12.482066905800448,0
48.0,26,12.563220057134721,0
51.0,28,12.607062835047413,1
6.0,23,12.620758859604479,0
31.0,27,12.854725488921492,0
29.0,27,12.86500865315963,0
56.0,28,12.96812927126208,1
41.0,27,13.041724398258584,0
3.0,27,13.17582493406898,0
47.0,27,13.200812860577926,1
10.0,26,13.296329953584257,0
18.0,28,13.445841664082963,0
38.0,27,13.638663397256579,1
35.0,26,13.73151033046358,1
37.0,26,14.031841239747942,1
32.0,27,14.36739992211531,1
27.0,27,14.489900413320939,1
7.0,27,14.54382955253419,0
39.0,26,14.545824619054851,1
8.0,27,14.631490297183516,0
36.0,26,15.018231422145425,1
17.0,27,16.896803982798176,1
13.0,29,17.479401516727684,1
12.0,28,18.641949674231036,1
11.0,27,18.660595130836427,1
16.0,26,19.00854578608204,1
15.0,27,19.67745818047389,1
5.0,27,19.683234813178736,1
24.0,27,20.217876030928707,1
2.0,27,20.229497507036005,1
