day,hour,minute,second,question,worker,answer,gt
0,0,0,0,475,22,2,2
0,0,0,0,107,2,2,2
0,0,0,0,454,52,1,1
0,0,0,0,261,22,2,2
0,0,0,0,679,20,2,2
0,0,0,0,541,4,2,2
0,0,0,0,491,21,2,2
0,0,0,0,785,5,2,2
0,0,0,0,576,20,1,1
0,0,0,0,784,4,1,1
0,0,0,0,211,89,1,2
0,0,0,0,441,25,2,2
0,0,0,0,587,4,2,2
0,0,0,0,506,25,1,1
0,0,0,0,573,18,1,2
0,0,0,0,289,18,1,2
0,0,0,0,15,18,1,2
0,0,0,0,5,2,1,2
0,0,0,0,61,2,1,2
0,0,0,0,785,20,2,2
0,0,0,0,710,25,1,1
0,0,0,0,407,14,2,2
0,0,0,0,320,2,1,1
0,0,0,0,722,55,1,1
0,0,0,0,765,22,2,2
0,0,0,0,77,22,2,2
0,0,0,0,770,21,1,1
0,0,0,0,783,4,1,2
0,0,0,0,77,21,2,2
0,0,0,0,53,4,2,2
0,0,0,0,5,14,1,2
0,0,0,0,496,4,1,1
0,0,0,0,170,73,1,1
0,0,0,0,673,22,1,2
0,0,0,0,171,14,2,2
0,0,0,0,648,88,1,1
0,0,0,0,707,5,1,2
0,0,0,0,375,59,2,2
0,0,0,0,777,6,2,2
0,0,0,0,297,18,1,2
0,0,0,0,790,85,2,1
0,0,0,0,537,6,2,2
0,0,0,0,484,25,2,1
0,0,0,0,200,14,2,1
0,0,0,0,537,25,2,2
0,0,0,0,142,5,1,1
0,0,0,0,783,2,1,2
0,0,0,0,47,14,2,2
0,0,0,0,25,18,2,2
0,0,0,0,615,19,2,2
0,0,0,0,61,6,1,2
0,0,0,0,273,4,2,2
0,0,0,0,728,22,1,1
0,0,0,0,277,6,1,2
0,0,0,0,144,20,1,1
0,0,0,0,525,55,2,2
0,0,0,0,686,14,2,1
0,0,0,0,629,5,2,2
0,0,0,0,608,18,1,1
0,0,0,0,198,20,1,1
0,0,0,0,112,22,2,1
0,0,0,0,481,19,1,2
0,0,0,0,187,19,2,2
0,0,0,0,800,6,1,1
0,0,0,0,303,21,2,2
0,0,0,0,471,5,1,2
0,0,0,0,688,14,1,1
0,0,0,0,202,25,1,1
0,0,0,0,793,6,1,2
0,0,0,0,223,6,2,2
0,0,0,0,652,76,1,1
0,0,0,0,618,14,1,1
0,0,0,0,320,6,1,1
0,0,0,0,223,20,2,2
0,0,0,0,20,6,1,1
0,0,0,0,113,14,2,2
0,0,0,0,616,22,2,1
