alpha,beta,gama,avgAcc,avgPre,avgRec,avgF1
1.00000,0.12500,1.00000,0.66890,0.47474,0.91791,0.62262
1.00000,0.12500,2.00000,0.67817,0.48321,0.91840,0.63009
1.00000,0.12500,4.00000,0.67092,0.47643,0.88465,0.61615
1.00000,0.12500,8.00000,0.60428,0.41345,0.70342,0.51727
1.00000,0.12500,16.00000,0.59496,0.40311,0.66862,0.49929
1.00000,0.25000,1.00000,0.64622,0.45632,0.91440,0.60571
1.00000,0.25000,2.00000,0.66519,0.47179,0.91928,0.62046
1.00000,0.25000,4.00000,0.67556,0.48134,0.91929,0.62865
1.00000,0.25000,8.00000,0.66923,0.47530,0.88491,0.61517
1.00000,0.25000,16.00000,0.60537,0.41526,0.70702,0.51946
1.00000,1.00000,1.00000,0.61784,0.43659,0.90633,0.58566
1.00000,1.00000,2.00000,0.62474,0.44108,0.90960,0.59069
1.00000,1.00000,4.00000,0.64803,0.45792,0.91490,0.60712
1.00000,1.00000,8.00000,0.66620,0.47267,0.91964,0.62126
1.00000,1.00000,16.00000,0.67657,0.48204,0.91998,0.62936
1.00000,2.00000,1.00000,0.61126,0.43239,0.90493,0.58133
1.00000,2.00000,2.00000,0.61935,0.43750,0.90699,0.58669
1.00000,2.00000,4.00000,0.62704,0.44347,0.91117,0.59286
1.00000,2.00000,8.00000,0.64933,0.45871,0.91518,0.60801
1.00000,2.00000,16.00000,0.66601,0.47254,0.91959,0.62111
