alpha,beta,avgAcc,avgPre,avgRec,avgF1
1.00000,0.00000,0.69410,0.50070,0.80161,0.61318
1.00000,0.00800,0.72095,0.52750,0.92885,0.67062
1.00000,0.00900,0.72095,0.52750,0.92885,0.67062
1.00000,0.01000,0.72196,0.52853,0.93252,0.67242
1.00000,0.01300,0.72196,0.52853,0.93252,0.67242
1.00000,0.01400,0.72140,0.52789,0.93252,0.67192
1.00000,0.01500,0.72140,0.52789,0.93252,0.67192
1.00000,0.01600,0.72140,0.52789,0.93252,0.67192
1.00000,0.01700,0.72053,0.52718,0.93252,0.67128
1.00000,0.01800,0.72053,0.52718,0.93252,0.67128
1.00000,0.01900,0.72053,0.52718,0.93252,0.67128
1.00000,0.03125,0.67656,0.48908,0.92069,0.63622
1.00000,0.06250,0.66674,0.48108,0.91979,0.62909
1.00000,0.12500,0.65534,0.47189,0.92133,0.62162
1.00000,0.25000,0.64975,0.46721,0.92218,0.61792
1.00000,0.50000,0.64308,0.46220,0.91996,0.61298
1.00000,1.00000,0.64121,0.46070,0.91976,0.61167
1.00000,2.00000,0.63997,0.45991,0.91960,0.61089
1.00000,4.00000,0.63948,0.45953,0.91960,0.61057
