alpha,beta,avgAcc,avgPre,avgRec,avgF1
1.00000,0.00600,0.72062,0.52720,0.92796,0.67014
1.00000,0.00700,0.72062,0.52720,0.92796,0.67014
1.00000,0.00800,0.72095,0.52750,0.92885,0.67062
1.00000,0.00900,0.72095,0.52750,0.92885,0.67062
1.00000,0.01000,0.72196,0.52853,0.93252,0.67242
1.00000,0.01300,0.72196,0.52853,0.93252,0.67242
1.00000,0.01400,0.72140,0.52789,0.93252,0.67192
1.00000,0.01500,0.72140,0.52789,0.93252,0.67192
1.00000,0.01600,0.72140,0.52789,0.93252,0.67192
1.00000,0.01700,0.72053,0.52718,0.93252,0.67128
1.00000,0.01800,0.72053,0.52718,0.93252,0.67128
1.00000,0.01900,0.72053,0.52718,0.93252,0.67128
