alpha,beta,avgAcc,avgPre,avgRec,avgF1
1.0,0.00049,0.7206199999999999,0.5272,0.92796,0.67014
1.0,0.00098,0.7206199999999999,0.5272,0.92796,0.67014
1.0,0.00195,0.7206199999999999,0.5272,0.92796,0.67014
1.0,0.00391,0.7206199999999999,0.5272,0.92796,0.67014
1.0,0.006,0.7206199999999999,0.5272,0.92796,0.67014
1.0,0.007,0.7206199999999999,0.5272,0.92796,0.67014
1.0,0.007809999999999999,0.72095,0.5275,0.92885,0.67062
1.0,0.008,0.72095,0.5275,0.92885,0.67062
1.0,0.009,0.72095,0.5275,0.92885,0.67062
1.0,0.01,0.72196,0.52853,0.9325200000000001,0.67242
1.0,0.013,0.72196,0.52853,0.9325200000000001,0.67242
1.0,0.014,0.7214,0.52789,0.9325200000000001,0.67192
1.0,0.015,0.7214,0.52789,0.9325200000000001,0.67192
1.0,0.015619999999999998,0.7214,0.52789,0.9325200000000001,0.67192
1.0,0.016,0.7214,0.52789,0.9325200000000001,0.67192
1.0,0.017,0.72053,0.52718,0.9325200000000001,0.67128
1.0,0.018,0.72053,0.52718,0.9325200000000001,0.67128
1.0,0.019,0.72053,0.52718,0.9325200000000001,0.67128
1.0,0.03125,0.67656,0.48908,0.92069,0.63622
1.0,0.0625,0.66674,0.48108,0.91979,0.6290899999999999
1.0,0.125,0.6553399999999999,0.47189,0.92133,0.62162
1.0,0.25,0.64975,0.46721,0.9221799999999999,0.61792
1.0,0.5,0.64308,0.4622,0.91996,0.61298
1.0,1.0,0.6412100000000001,0.4607,0.91976,0.6116699999999999
1.0,2.0,0.6399699999999999,0.45991000000000004,0.9196,0.6108899999999999
1.0,4.0,0.63948,0.45953,0.9196,0.61057
1.0,8.0,0.63913,0.45932,0.9196,0.61036
1.0,16.0,0.63913,0.45932,0.9196,0.61036
1.0,32.0,0.63913,0.45932,0.9196,0.61036
