alpha,beta,gama,avgAcc,avgPre,avgRec,avgF1
1.00000,0.03125,0.03125,0.72545,0.53198,0.93409,0.67553
1.00000,0.03125,0.06250,0.73385,0.54048,0.93641,0.68290
1.00000,0.03125,0.12500,0.74010,0.54714,0.93992,0.68895
1.00000,0.03125,0.25000,0.75108,0.55853,0.94289,0.69852
1.00000,0.03125,0.50000,0.77075,0.57951,0.94490,0.71563
1.00000,0.03125,1.00000,0.78707,0.60230,0.92319,0.72592
1.00000,0.03125,2.00000,0.76696,0.59054,0.81763,0.68236
1.00000,0.03125,4.00000,0.75971,0.59043,0.77861,0.66702
1.00000,0.03125,8.00000,0.75468,0.58722,0.74712,0.65297
1.00000,0.03125,16.00000,0.75440,0.58921,0.73667,0.64957
1.00000,0.03125,32.00000,0.75354,0.58816,0.73018,0.64641
1.00000,0.06250,0.03125,0.71537,0.52235,0.93547,0.66802
1.00000,0.06250,0.06250,0.71900,0.52591,0.93680,0.67121
1.00000,0.06250,0.12500,0.73090,0.53783,0.93966,0.68139
1.00000,0.06250,0.25000,0.73720,0.54400,0.94202,0.68699
1.00000,0.06250,0.50000,0.75867,0.56662,0.94637,0.70582
1.00000,0.06250,1.00000,0.78090,0.59240,0.94430,0.72503
1.00000,0.06250,2.00000,0.79020,0.60852,0.90516,0.72470
1.00000,0.06250,4.00000,0.76472,0.59174,0.80059,0.67666
1.00000,0.06250,8.00000,0.75647,0.58815,0.76082,0.65878
1.00000,0.06250,16.00000,0.75667,0.59076,0.74635,0.65465
1.00000,0.06250,32.00000,0.75418,0.58901,0.73287,0.64784
1.00000,0.12500,0.03125,0.70637,0.51433,0.93639,0.66150
1.00000,0.12500,0.06250,0.70989,0.51729,0.93660,0.66412
1.00000,0.12500,0.12500,0.71545,0.52232,0.93833,0.66874
1.00000,0.12500,0.25000,0.72884,0.53523,0.94323,0.68047
1.00000,0.12500,0.50000,0.74370,0.55079,0.94516,0.69311
1.00000,0.12500,1.00000,0.76910,0.57936,0.94770,0.71578
1.00000,0.12500,2.00000,0.79001,0.60651,0.94028,0.73348
1.00000,0.12500,4.00000,0.78908,0.61019,0.89702,0.72264
1.00000,0.12500,8.00000,0.76580,0.59623,0.79431,0.67683
1.00000,0.12500,16.00000,0.75645,0.58918,0.75663,0.65761
1.00000,0.12500,32.00000,0.75422,0.58871,0.74249,0.65155
1.00000,0.25000,0.03125,0.68933,0.49947,0.93308,0.64817
1.00000,0.25000,0.06250,0.68952,0.49965,0.93273,0.64819
1.00000,0.25000,0.12500,0.69612,0.50509,0.93560,0.65365
1.00000,0.25000,0.25000,0.71073,0.51844,0.94041,0.66579
1.00000,0.25000,0.50000,0.72423,0.53152,0.94343,0.67712
1.00000,0.25000,1.00000,0.74509,0.55234,0.94598,0.69451
1.00000,0.25000,2.00000,0.77139,0.58208,0.94747,0.71779
1.00000,0.25000,4.00000,0.79271,0.61053,0.94060,0.73635
1.00000,0.25000,8.00000,0.78750,0.60913,0.89004,0.71956
1.00000,0.25000,16.00000,0.76327,0.59494,0.78526,0.67235
1.00000,0.25000,32.00000,0.75624,0.58936,0.75218,0.65601
1.00000,0.50000,0.03125,0.67555,0.48765,0.93065,0.63758
1.00000,0.50000,0.06250,0.68050,0.49201,0.93206,0.64153
1.00000,0.50000,0.12500,0.68349,0.49457,0.93287,0.64385
1.00000,0.50000,0.25000,0.68967,0.49982,0.93457,0.64877
1.00000,0.50000,0.50000,0.70635,0.51431,0.94022,0.66242
1.00000,0.50000,1.00000,0.72225,0.52946,0.94331,0.67548
1.00000,0.50000,2.00000,0.74464,0.55207,0.94623,0.69434
1.00000,0.50000,4.00000,0.77299,0.58446,0.94672,0.71911
1.00000,0.50000,8.00000,0.79230,0.61048,0.93802,0.73552
1.00000,0.50000,16.00000,0.78673,0.60934,0.88148,0.71645
1.00000,0.50000,32.00000,0.76317,0.59523,0.78194,0.67138
1.00000,1.00000,0.03125,0.66388,0.47848,0.92665,0.62863
1.00000,1.00000,0.06250,0.66682,0.48087,0.92764,0.63092
1.00000,1.00000,0.12500,0.67363,0.48673,0.93018,0.63640
1.00000,1.00000,0.25000,0.68005,0.49182,0.93269,0.64141
1.00000,1.00000,0.50000,0.68547,0.49647,0.93400,0.64564
1.00000,1.00000,1.00000,0.69871,0.50823,0.93941,0.65682
1.00000,1.00000,2.00000,0.72312,0.53009,0.94398,0.67625
1.00000,1.00000,4.00000,0.74433,0.55200,0.94657,0.69425
1.00000,1.00000,8.00000,0.77362,0.58521,0.94630,0.71959
1.00000,1.00000,16.00000,0.79425,0.61303,0.93888,0.73759
1.00000,1.00000,32.00000,0.78773,0.61120,0.87646,0.71586
1.00000,2.00000,0.03125,0.65713,0.47318,0.92515,0.62368
1.00000,2.00000,0.06250,0.66135,0.47656,0.92643,0.62689
1.00000,2.00000,0.12500,0.66330,0.47808,0.92713,0.62837
1.00000,2.00000,0.25000,0.66873,0.48273,0.92898,0.63265
1.00000,2.00000,0.50000,0.67772,0.49005,0.93106,0.63946
1.00000,2.00000,1.00000,0.68454,0.49572,0.93430,0.64506
1.00000,2.00000,2.00000,0.69822,0.50778,0.93926,0.65639
1.00000,2.00000,4.00000,0.72192,0.52891,0.94264,0.67503
1.00000,2.00000,8.00000,0.74607,0.55423,0.94689,0.69585
1.00000,2.00000,16.00000,0.77430,0.58649,0.94589,0.72027
1.00000,2.00000,32.00000,0.79343,0.61202,0.93891,0.73681
1.00000,4.00000,0.03125,0.65083,0.46803,0.92324,0.61890
1.00000,4.00000,0.06250,0.65274,0.46953,0.92420,0.62042
1.00000,4.00000,0.12500,0.65636,0.47272,0.92520,0.62327
1.00000,4.00000,0.25000,0.65989,0.47541,0.92645,0.62590
1.00000,4.00000,0.50000,0.66677,0.48103,0.92863,0.63118
1.00000,4.00000,1.00000,0.67479,0.48761,0.93005,0.63715
1.00000,4.00000,2.00000,0.68443,0.49562,0.93401,0.64493
1.00000,4.00000,4.00000,0.69516,0.50513,0.93879,0.65400
1.00000,4.00000,8.00000,0.72234,0.52929,0.94248,0.67533
1.00000,4.00000,16.00000,0.74662,0.55485,0.94681,0.69630
1.00000,4.00000,32.00000,0.77454,0.58681,0.94593,0.72051
1.00000,8.00000,0.03125,0.64798,0.46600,0.92227,0.61684
1.00000,8.00000,0.06250,0.64896,0.46677,0.92274,0.61762
1.00000,8.00000,0.12500,0.65173,0.46870,0.92420,0.61971
1.00000,8.00000,0.25000,0.65469,0.47127,0.92486,0.62199
1.00000,8.00000,0.50000,0.65901,0.47467,0.92645,0.62529
1.00000,8.00000,1.00000,0.66607,0.48049,0.92832,0.63063
1.00000,8.00000,2.00000,0.67479,0.48761,0.93005,0.63715
1.00000,8.00000,4.00000,0.68336,0.49480,0.93349,0.64407
1.00000,8.00000,8.00000,0.69410,0.50415,0.93844,0.65310
1.00000,8.00000,16.00000,0.72031,0.52733,0.94207,0.67362
1.00000,8.00000,32.00000,0.74654,0.55477,0.94670,0.69621
1.00000,16.00000,0.03125,0.64656,0.46490,0.92187,0.61580
1.00000,16.00000,0.06250,0.64712,0.46534,0.92227,0.61628
1.00000,16.00000,0.12500,0.64780,0.46567,0.92227,0.61664
1.00000,16.00000,0.25000,0.65032,0.46769,0.92358,0.61865
1.00000,16.00000,0.50000,0.65473,0.47133,0.92486,0.62203
1.00000,16.00000,1.00000,0.65830,0.47419,0.92611,0.62476
1.00000,16.00000,2.00000,0.66525,0.47984,0.92739,0.62986
1.00000,16.00000,4.00000,0.67437,0.48720,0.93005,0.63684
1.00000,16.00000,8.00000,0.68329,0.49474,0.93349,0.64402
1.00000,16.00000,16.00000,0.69410,0.50415,0.93844,0.65310
1.00000,16.00000,32.00000,0.72018,0.52722,0.94187,0.67348
1.00000,32.00000,0.03125,0.64656,0.46490,0.92187,0.61580
1.00000,32.00000,0.06250,0.64656,0.46490,0.92187,0.61580
1.00000,32.00000,0.12500,0.64731,0.46529,0.92187,0.61622
1.00000,32.00000,0.25000,0.64760,0.46551,0.92227,0.61650
1.00000,32.00000,0.50000,0.64963,0.46714,0.92358,0.61820
1.00000,32.00000,1.00000,0.65420,0.47082,0.92454,0.62154
1.00000,32.00000,2.00000,0.65780,0.47376,0.92611,0.62442
1.00000,32.00000,4.00000,0.66480,0.47950,0.92707,0.62948
1.00000,32.00000,8.00000,0.67437,0.48720,0.93005,0.63684
1.00000,32.00000,16.00000,0.68289,0.49440,0.93307,0.64362
1.00000,32.00000,32.00000,0.69410,0.50415,0.93844,0.65310
