day,hour,minute,second,question,worker,answer,gt
0,0,0,0,146,22,1,1
0,0,0,0,56,35,0,1
0,0,0,0,146,15,1,1
0,0,0,0,628,53,0,0
0,0,0,0,223,45,2,2
0,0,0,0,259,1,2,2
0,0,0,0,306,61,0,1
0,0,0,0,144,19,1,1
0,0,0,0,58,56,3,3
0,0,0,0,753,35,0,0
0,0,0,0,530,1,3,3
0,0,0,0,58,66,3,3
0,0,0,0,391,41,2,3
0,0,0,0,584,61,3,3
0,0,0,0,95,10,0,1
0,0,0,0,155,1,2,2
0,0,0,0,147,61,3,3
0,0,0,0,541,57,2,2
0,0,0,0,106,61,3,3
0,0,0,0,554,10,2,2
0,0,0,0,457,53,0,3
0,0,0,0,694,35,3,3
0,0,0,0,593,22,1,1
0,0,0,0,423,56,0,0
0,0,0,0,304,1,1,1
0,0,0,0,274,22,2,2
0,0,0,0,120,45,0,0
0,0,0,0,655,1,0,0
0,0,0,0,303,57,2,3
0,0,0,0,311,35,1,3
0,0,0,0,336,94,2,2
0,0,0,0,459,1,2,2
0,0,0,0,471,22,1,1
0,0,0,0,370,53,3,3
0,0,0,0,403,22,1,1
0,0,0,0,84,35,0,0
0,0,0,0,794,45,3,3
0,0,0,0,312,35,3,3
0,0,0,0,409,35,0,1
0,0,0,0,421,15,3,3
0,0,0,0,370,1,3,3
0,0,0,0,191,57,0,1
0,0,0,0,93,77,2,2
0,0,0,0,471,10,1,1
0,0,0,0,89,59,0,0
0,0,0,0,224,10,0,0
0,0,0,0,152,53,1,1
0,0,0,0,529,10,2,2
0,0,0,0,487,41,2,3
0,0,0,0,487,35,2,3
0,0,0,0,205,19,0,0
0,0,0,0,61,35,3,3
0,0,0,0,37,5,3,3
0,0,0,0,88,10,1,1
0,0,0,0,30,35,1,1
0,0,0,0,800,5,3,3
0,0,0,0,97,10,1,1
0,0,0,0,782,22,2,2
0,0,0,0,94,45,3,3
0,0,0,0,680,35,2,3
0,0,0,0,770,35,2,3
0,0,0,0,653,59,3,3
0,0,0,0,388,6,1,1
0,0,0,0,343,61,1,1
0,0,0,0,447,19,0,0
0,0,0,0,692,35,1,0
0,0,0,0,337,10,3,3
0,0,0,0,96,15,2,2
0,0,0,0,403,35,1,1
0,0,0,0,166,53,2,2
0,0,0,0,370,66,3,3
0,0,0,0,110,22,2,2
0,0,0,0,339,67,3,2
0,0,0,0,336,90,2,2
0,0,0,0,491,22,3,3
0,0,0,0,497,5,3,3
0,0,0,0,276,1,2,2
0,0,0,0,11,19,0,0
0,0,0,0,240,1,2,2
0,0,0,0,279,53,1,1
0,0,0,0,185,60,3,3
0,0,0,0,598,71,3,2
0,0,0,0,217,60,1,1
0,0,0,0,447,5,0,0
0,0,0,0,737,66,1,1
0,0,0,0,748,66,0,0
0,0,0,0,273,61,3,3
0,0,0,0,635,22,3,3
0,0,0,0,94,15,3,3
0,0,0,0,544,35,0,0
0,0,0,0,62,61,0,0
0,0,0,0,491,61,3,3
0,0,0,0,635,97,3,3
0,0,0,0,521,35,1,0
0,0,0,0,333,45,0,0
0,0,0,0,44,66,2,2
0,0,0,0,591,6,1,1
0,0,0,0,399,27,0,0
0,0,0,0,514,57,2,2
0,0,0,0,682,1,1,1
0,0,0,0,41,75,2,2
0,0,0,0,433,5,0,0
0,0,0,0,785,22,0,0
0,0,0,0,210,94,3,2
0,0,0,0,466,22,1,0
0,0,0,0,630,15,2,3
0,0,0,0,360,56,0,0
0,0,0,0,389,6,2,2
0,0,0,0,233,35,0,1
0,0,0,0,154,90,1,0
0,0,0,0,163,77,3,3
0,0,0,0,694,10,3,3
0,0,0,0,122,5,2,2
0,0,0,0,248,35,3,2
0,0,0,0,632,1,3,3
0,0,0,0,365,22,1,1
0,0,0,0,608,6,1,1
0,0,0,0,354,5,0,1
0,0,0,0,666,22,0,0
0,0,0,0,490,22,3,2
0,0,0,0,447,35,0,0
0,0,0,0,275,1,2,1
0,0,0,0,563,61,0,0
0,0,0,0,105,56,1,1
0,0,0,0,398,10,0,1
0,0,0,0,411,66,0,1
0,0,0,0,322,41,3,3
0,0,0,0,532,27,3,3
0,0,0,0,670,22,2,2
0,0,0,0,587,35,1,1
0,0,0,0,502,35,2,2
0,0,0,0,204,35,1,1
0,0,0,0,355,19,3,3
0,0,0,0,304,90,1,1
0,0,0,0,257,90,1,0
0,0,0,0,391,35,2,3
0,0,0,0,40,10,2,2
0,0,0,0,629,5,3,2
0,0,0,0,122,75,2,2
0,0,0,0,518,19,3,2
0,0,0,0,687,45,3,3
0,0,0,0,216,1,0,0
0,0,0,0,726,5,3,3
0,0,0,0,221,10,3,3
0,0,0,0,482,1,2,3
0,0,0,0,627,35,2,2
0,0,0,0,705,60,2,2
0,0,0,0,258,35,3,3
0,0,0,0,415,41,2,2
0,0,0,0,111,15,3,3
0,0,0,0,562,22,0,1
0,0,0,0,301,1,2,3
0,0,0,0,93,10,2,2
0,0,0,0,157,90,1,1
0,0,0,0,217,27,1,1
0,0,0,0,530,53,3,3
0,0,0,0,533,53,3,3
0,0,0,0,512,45,1,0
0,0,0,0,462,6,3,3
0,0,0,0,410,90,0,0
0,0,0,0,581,41,2,2
0,0,0,0,79,56,2,2
0,0,0,0,97,90,1,1
0,0,0,0,99,35,1,0
0,0,0,0,163,22,3,3
0,0,0,0,486,60,3,2
0,0,0,0,631,35,2,2
0,0,0,0,287,1,0,0
0,0,0,0,338,22,1,0
0,0,0,0,227,61,3,3
0,0,0,0,206,53,3,3
0,0,0,0,573,59,3,3
0,0,0,0,489,41,3,2
0,0,0,0,574,27,0,0
0,0,0,0,557,5,3,3
0,0,0,0,556,1,2,2
0,0,0,0,633,45,3,3
0,0,0,0,549,22,3,2
0,0,0,0,630,35,2,3
0,0,0,0,1,1,2,3
0,0,0,0,188,41,0,0
0,0,0,0,609,35,0,0
0,0,0,0,633,57,3,3
0,0,0,0,98,35,2,2
0,0,0,0,376,6,1,0
0,0,0,0,713,35,2,3
0,0,0,0,685,10,0,1
0,0,0,0,223,1,2,2
0,0,0,0,685,60,0,1
0,0,0,0,684,53,0,0
0,0,0,0,743,22,3,3
0,0,0,0,561,19,1,1
0,0,0,0,31,1,2,2
0,0,0,0,561,35,1,1
0,0,0,0,221,41,3,3
0,0,0,0,253,77,3,2
0,0,0,0,101,75,2,2
0,0,0,0,266,35,0,1
0,0,0,0,135,53,2,2
0,0,0,0,409,56,0,1
0,0,0,0,38,61,2,2
0,0,0,0,338,53,1,0
0,0,0,0,621,35,0,0
0,0,0,0,171,15,2,2
0,0,0,0,515,94,1,1
0,0,0,0,456,1,2,2
0,0,0,0,346,41,2,2
0,0,0,0,772,22,1,1
0,0,0,0,434,35,0,1
0,0,0,0,516,66,3,3
0,0,0,0,365,35,1,1
0,0,0,0,247,5,2,2
0,0,0,0,277,53,2,2
0,0,0,0,799,35,3,2
0,0,0,0,624,57,0,1
0,0,0,0,613,41,0,0
0,0,0,0,30,22,1,1
0,0,0,0,568,56,3,2
0,0,0,0,616,15,0,0
0,0,0,0,269,1,0,0
0,0,0,0,374,41,0,1
0,0,0,0,347,1,1,1
0,0,0,0,50,67,1,1
0,0,0,0,277,45,2,2
0,0,0,0,544,5,0,0
0,0,0,0,604,5,2,3
0,0,0,0,90,90,0,1
0,0,0,0,198,94,2,2
0,0,0,0,806,6,3,3
0,0,0,0,331,35,3,3
0,0,0,0,584,41,3,3
0,0,0,0,713,45,2,3
0,0,0,0,213,1,1,1
0,0,0,0,236,27,1,0
0,0,0,0,11,5,0,0
0,0,0,0,169,45,1,1
0,0,0,0,605,35,3,2
0,0,0,0,610,66,1,1
0,0,0,0,487,57,2,3
0,0,0,0,135,35,2,2
0,0,0,0,199,19,3,3
0,0,0,0,152,56,1,1
0,0,0,0,691,41,3,3
0,0,0,0,182,10,0,3
0,0,0,0,401,22,2,3
0,0,0,0,126,1,2,2
0,0,0,0,318,10,0,1
0,0,0,0,610,45,1,1
0,0,0,0,150,41,3,3
0,0,0,0,608,15,1,1
0,0,0,0,585,35,2,2
0,0,0,0,217,77,1,1
0,0,0,0,524,10,2,3
0,0,0,0,498,53,2,2
0,0,0,0,677,35,0,1
0,0,0,0,124,1,2,2
0,0,0,0,264,53,1,1
0,0,0,0,264,19,1,1
0,0,0,0,757,61,0,1
0,0,0,0,32,15,1,1
0,0,0,0,403,61,1,1
0,0,0,0,416,61,3,3
0,0,0,0,91,81,1,1
0,0,0,0,8,45,0,0
0,0,0,0,70,22,2,2
0,0,0,0,767,10,1,1
0,0,0,0,707,22,2,2
0,0,0,0,131,59,2,0
0,0,0,0,531,19,3,3
0,0,0,0,750,22,1,1
0,0,0,0,71,15,2,2
0,0,0,0,155,22,2,2
0,0,0,0,277,15,2,2
0,0,0,0,759,66,1,1
0,0,0,0,427,22,3,3
0,0,0,0,111,41,3,3
0,0,0,0,679,19,0,0
0,0,0,0,569,60,2,2
0,0,0,0,624,35,0,1
0,0,0,0,68,27,0,0
0,0,0,0,679,10,0,0
0,0,0,0,59,53,1,1
0,0,0,0,133,35,1,1
0,0,0,0,500,22,2,2
0,0,0,0,363,10,3,3
0,0,0,0,793,41,3,2
0,0,0,0,652,57,1,0
0,0,0,0,709,35,0,1
0,0,0,0,166,41,2,2
0,0,0,0,528,81,3,3
0,0,0,0,187,77,2,3
0,0,0,0,449,41,2,3
0,0,0,0,202,22,3,2
0,0,0,0,211,57,0,0
0,0,0,0,56,5,0,1
0,0,0,0,327,22,1,0
0,0,0,0,449,46,2,3
0,0,0,0,785,19,0,0
0,0,0,0,732,35,3,3
0,0,0,0,268,5,2,2
0,0,0,0,757,41,0,1
0,0,0,0,602,10,2,2
0,0,0,0,329,10,3,3
0,0,0,0,679,1,0,0
0,0,0,0,359,61,2,2
0,0,0,0,159,19,0,1
0,0,0,0,714,22,1,1
0,0,0,0,542,22,3,2
0,0,0,0,651,41,3,3
0,0,0,0,161,35,2,2
0,0,0,0,714,35,1,1
0,0,0,0,255,10,3,2
0,0,0,0,428,61,0,0
0,0,0,0,31,35,2,2
0,0,0,0,698,10,1,0
0,0,0,0,501,15,0,0
0,0,0,0,255,41,3,2
0,0,0,0,416,53,3,3
0,0,0,0,241,22,0,0
0,0,0,0,707,15,2,2
0,0,0,0,526,53,1,0
0,0,0,0,168,61,0,0
0,0,0,0,107,41,2,3
0,0,0,0,295,53,0,0
0,0,0,0,40,41,2,2
0,0,0,0,722,41,0,1
0,0,0,0,699,45,0,0
0,0,0,0,559,27,1,1
0,0,0,0,438,5,3,3
0,0,0,0,586,35,0,0
0,0,0,0,580,22,3,3
0,0,0,0,156,22,2,2
0,0,0,0,580,27,3,3
0,0,0,0,102,60,1,1
0,0,0,0,477,1,1,0
0,0,0,0,591,53,1,1
0,0,0,0,535,6,3,3
0,0,0,0,780,35,2,2
0,0,0,0,555,1,3,2
0,0,0,0,692,27,1,0
0,0,0,0,363,15,3,3
0,0,0,0,515,22,1,1
0,0,0,0,672,61,0,1
0,0,0,0,590,56,0,0
0,0,0,0,237,60,0,1
0,0,0,0,382,56,2,3
