workers,ks,sum_W,sum_W,find
104.0,4,6.857142857142856,3001.5589123593118,0
106.0,4,6.857142857142856,63.869493109603525,0
38.0,5,8.57142857142857,3.1623112287791524e+16,1
92.0,5,8.57142857142857,921.5434204290071,0
103.0,6,11.999999999999996,668951376581822.8,1
64.0,7,13.71428571428571,1812184315291934.5,0
78.0,7,14.938775510204078,368891677.2781223,0
93.0,7,13.71428571428571,6.127097108810286e+16,1
100.0,7,13.71428571428571,1143233306517860.0,1
108.0,7,13.71428571428571,68625287.68359129,0
29.0,8,49.19503392108313,1606.7783146580691,0
82.0,9,25.37142857142857,3.0954161275767584e+16,0
87.0,9,24.73469387755102,46315.48883469781,0
109.0,9,23.510204081632654,3.047987904687583e+16,0
105.0,10,25.714285714285715,1812184614451069.2,0
107.0,10,32.66239067055393,305358187.34289175,0
18.0,11,35.982207413577676,57655.030993021945,0
97.0,11,39.62006306895936,2.9810927978047716e+16,0
46.0,12,36.48979591836735,3.0316810184889816e+16,1
67.0,12,40.581131195335274,40402.284874219,0
75.0,12,37.06355685131196,5.945878677757873e+16,0
33.0,12,40.30320699708455,6.127097115295953e+16,1
95.0,12,42.94110787172012,65395350.27647119,0
99.0,13,41.894743856726365,3.047987928671638e+16,0
84.0,14,50.70543273635985,1143233671015723.8,0
86.0,15,47.06239067055394,3.047987929032311e+16,0
91.0,15,47.461224489795924,3.1460043113956492e+16,1
96.0,15,49.609329446064145,6.127097139637005e+16,1
98.0,15,41.38775510204083,3.14600434227694e+16,1
74.0,16,54.549271137026246,6.1270971393305416e+16,0
79.0,16,56.50845481049563,3.079109248048435e+16,1
83.0,16,63.82240733027905,3.0954161649029268e+16,0
32.0,17,93.42746986772997,1143233370784953.2,0
71.0,18,59.35430903790088,6.012773809488413e+16,0
14.0,19,177.43223216239036,2.9647859109888584e+16,0
102.0,20,102.28423871006119,6.127097139754986e+16,1
3.0,21,293.09822799801884,668951008268021.2,0
62.0,21,156.72737627012967,1143233611273493.5,0
85.0,21,102.68594561789725,6.127097115623204e+16,1
48.0,21,201.66876894132528,6.127097139715263e+16,1
37.0,22,477.0380784565449,2.964785887316183e+16,0
81.0,22,130.23255684281202,3.1623112657287844e+16,1
72.0,22,149.41166874003932,6.127097139203858e+16,0
68.0,23,119.7502282698049,6.1270971461763656e+16,1
80.0,23,100.20728696376504,6.12709714625233e+16,1
30.0,24,245.02682907323106,1812184379196278.0,0
89.0,24,126.05090736002845,6.127097146084689e+16,1
56.0,24,805.6793484328348,6.012773809049862e+16,0
26.0,24,538.0004120814715,6.1270971462501464e+16,1
5.0,24,709.7188339838726,3.1623112588284612e+16,0
88.0,24,240.8188258803018,6.127097146253181e+16,1
28.0,24,2550.9430743782455,3.162311265247081e+16,0
53.0,24,378.8845419438243,3.0791092479337424e+16,0
58.0,24,40845.7844510774,6.127097146254579e+16,1
24.0,24,186.49152183881517,6.060202045429849e+16,0
44.0,24,492.6959786339179,3.162311265252549e+16,0
45.0,24,289.0953469695583,668951382136562.8,0
59.0,24,670.389971869528,6.127097146236594e+16,0
66.0,24,313.72515580876524,6.127097115351095e+16,0
94.0,24,461.49469965620943,6.127097145817365e+16,1
15.0,24,786.5301428347028,6.060202044934551e+16,0
19.0,24,586.4477289529705,6.127097146180167e+16,0
57.0,24,150.54396602838628,6.0602020149106424e+16,0
90.0,24,301.15883590734086,3.1460043488341664e+16,0
31.0,24,1686.3144189216778,6.127097139825511e+16,0
51.0,24,1469.3069148759641,6.127097145818023e+16,0
7.0,24,11297.531249608486,6.1270971462550376e+16,1
9.0,24,10284.592969233114,3.146004348892022e+16,0
