worker1,worker2,w
35,120,0.0
52,102,0.0
52,100,0.0
52,99,0.0
52,98,0.0
52,97,0.0
52,96,0.0
52,95,0.0
52,94,0.0
52,93,0.0
52,92,0.0
52,91,0.0
52,90,0.0
52,89,0.0
52,88,0.0
52,87,0.0
52,86,0.0
52,85,0.0
52,83,0.0
52,82,0.0
52,81,0.0
52,79,0.0
52,103,0.0
52,104,0.0
52,105,0.0
52,106,0.0
53,63,0.0
53,62,0.0
53,61,0.0
53,60,0.0
53,59,0.0
53,58,0.0
53,55,0.0
53,54,0.0
52,120,0.0
52,119,0.0
52,78,0.0
52,118,0.0
52,116,0.0
52,115,0.0
52,114,0.0
52,113,0.0
52,112,0.0
52,111,0.0
52,110,0.0
52,109,0.0
52,108,0.0
52,107,0.0
52,117,0.0
53,66,0.0
52,77,0.0
52,75,0.0
51,110,0.0
51,109,0.0
51,108,0.0
51,107,0.0
51,106,0.0
51,105,0.0
51,104,0.0
51,103,0.0
51,102,0.0
51,101,0.0
51,99,0.0
51,98,0.0
51,97,0.0
51,96,0.0
51,95,0.0
51,94,0.0
51,93,0.0
51,92,0.0
51,91,0.0
51,90,0.0
51,89,0.0
51,111,0.0
51,112,0.0
51,113,0.0
51,114,0.0
52,74,0.0
52,73,0.0
52,72,0.0
52,71,0.0
52,69,0.0
52,68,0.0
52,67,0.0
52,66,0.0
52,65,0.0
52,64,0.0
52,76,0.0
52,63,0.0
52,61,0.0
52,59,0.0
52,55,0.0
52,54,0.0
52,53,0.0
51,120,0.0
51,119,0.0
51,117,0.0
51,116,0.0
51,115,0.0
52,62,0.0
53,67,0.0
53,68,0.0
53,69,0.0
54,88,0.0
54,86,0.0
54,85,0.0
54,84,0.0
54,83,0.0
54,81,0.0
54,80,0.0
54,79,0.0
54,78,0.0
54,77,0.0
54,76,0.0
54,75,0.0
54,74,0.0
54,73,0.0
54,72,0.0
54,71,0.0
54,70,0.0
54,69,0.0
54,68,0.0
54,67,0.0
54,65,0.0
54,89,0.0
54,90,0.0
54,91,0.0
54,92,0.0
54,115,0.0
54,114,0.0
54,113,0.0
54,112,0.0
54,111,0.0
54,110,0.0
54,109,0.0
54,108,0.0
54,107,0.0
54,106,0.0
54,64,0.0
54,105,0.0
54,103,0.0
54,102,0.0
54,101,0.0
54,100,0.0
54,99,0.0
54,97,0.0
54,96,0.0
54,95,0.0
54,94,0.0
54,93,0.0
54,104,0.0
54,62,0.0
54,61,0.0
54,60,0.0
53,94,0.0
53,93,0.0
53,92,0.0
53,91,0.0
53,90,0.0
53,89,0.0
53,88,0.0
53,87,0.0
53,86,0.0
53,85,0.0
53,95,0.0
53,84,0.0
53,82,0.0
53,81,0.0
53,79,0.0
53,78,0.0
53,77,0.0
53,76,0.0
53,75,0.0
53,74,0.0
53,71,0.0
53,70,0.0
53,83,0.0
51,88,0.0
53,97,0.0
53,99,0.0
54,59,0.0
54,55,0.0
53,120,0.0
53,119,0.0
53,118,0.0
53,117,0.0
53,116,0.0
53,115,0.0
53,114,0.0
53,113,0.0
53,98,0.0
53,112,0.0
53,110,0.0
53,109,0.0
53,108,0.0
53,107,0.0
53,105,0.0
53,104,0.0
53,103,0.0
53,102,0.0
53,101,0.0
53,100,0.0
53,111,0.0
54,116,0.0
51,86,0.0
51,84,0.0
49,71,0.0
49,67,0.0
49,66,0.0
49,62,0.0
49,61,0.0
49,60,0.0
49,59,0.0
49,58,0.0
49,57,0.0
49,55,0.0
49,54,0.0
49,50,0.0
48,120,0.0
48,119,0.0
48,118,0.0
48,117,0.0
48,116,0.0
48,115,0.0
48,114,0.0
48,113,0.0
48,112,0.0
49,72,0.0
49,73,0.0
49,74,0.0
49,76,0.0
49,102,0.0
49,101,0.0
49,100,0.0
