question,worker,answer,gt
1,32,2,2
1,26,2,2
1,9,1,2
1,5,1,2
1,74,2,2
1,23,2,2
1,18,2,2
1,69,2,2
1,55,2,2
1,14,2,2
2,47,2,1
2,4,1,1
2,6,1,1
2,56,1,1
2,8,1,1
2,14,2,1
2,9,2,1
2,16,1,1
2,22,2,1
2,10,2,1
3,2,2,2
3,27,2,2
3,58,2,2
3,46,1,2
3,64,1,2
3,35,2,2
3,31,2,2
3,4,2,2
3,37,2,2
3,34,1,2
4,12,1,1
4,8,1,1
4,50,2,1
4,40,2,1
4,37,1,1
4,18,1,1
4,4,1,1
4,44,2,1
4,14,2,1
4,27,1,1
5,2,2,2
5,25,1,2
5,3,2,2
5,39,2,2
5,85,2,2
5,14,1,2
5,49,2,2
5,45,2,2
5,23,2,2
5,46,2,2
6,44,1,1
6,43,2,1
6,3,1,1
6,12,1,1
6,39,1,1
6,10,1,1
6,8,1,1
6,24,1,1
6,87,1,1
6,40,2,1
7,20,2,2
7,7,2,2
7,44,2,2
7,24,2,2
7,48,2,2
7,6,1,2
7,51,2,2
7,65,1,2
7,11,1,2
7,39,2,2
8,42,1,1
8,2,1,1
8,110,1,1
8,4,1,1
8,43,2,1
8,15,1,1
8,3,1,1
8,8,1,1
8,12,2,1
8,1,2,1
9,17,2,2
9,1,2,2
9,2,2,2
9,16,2,2
9,14,1,2
9,94,2,2
9,12,2,2
9,30,2,2
9,6,2,2
9,4,1,2
10,4,1,1
10,5,1,1
10,8,1,1
10,6,1,1
10,21,1,1
10,14,1,1
10,2,1,1
10,77,1,1
10,9,1,1
10,3,1,1
11,90,1,2
11,1,2,2
11,3,2,2
11,35,2,2
11,16,2,2
11,64,2,2
11,27,2,2
11,11,2,2
11,8,1,2
11,7,2,2
12,13,2,1
12,85,1,1
12,37,1,1
12,76,2,1
12,22,1,1
12,31,1,1
12,48,1,1
12,44,1,1
12,53,1,1
12,8,1,1
13,10,2,2
13,6,2,2
13,11,2,2
13,24,2,2
13,2,2,2
13,31,2,2
13,13,2,2
13,1,2,2
13,7,2,2
13,12,2,2
14,28,1,1
14,73,2,1
14,38,1,1
14,23,2,1
14,4,1,1
14,1,1,1
14,27,2,1
14,20,1,1
14,54,2,1
14,21,2,1
15,36,1,2
15,3,2,2
15,18,2,2
15,28,1,2
15,33,1,2
15,37,2,2
15,26,2,2
15,35,2,2
15,24,2,2
15,6,1,2
16,3,2,1
16,5,1,1
16,8,1,1
16,22,1,1
16,9,1,1
16,101,1,1
16,4,1,1
16,78,1,1
16,6,1,1
16,34,1,1
17,29,2,2
17,7,1,2
17,17,2,2
17,8,2,2
17,21,2,2
17,6,2,2
17,2,2,2
17,18,2,2
17,15,2,2
17,26,1,2
18,19,1,1
18,77,1,1
18,23,2,1
18,57,1,1
18,24,1,1
18,13,2,1
18,16,1,1
18,12,1,1
18,32,1,1
18,28,1,1
19,11,2,2
19,25,1,2
19,19,2,2
19,17,1,2
19,8,2,2
19,21,1,2
19,31,2,2
19,66,2,2
19,2,2,2
19,39,2,2
20,39,1,1
20,56,1,1
20,14,1,1
20,24,1,1
20,11,1,1
20,2,1,1
20,6,1,1
20,51,1,1
20,4,1,1
20,5,2,1
21,3,2,2
21,4,2,2
21,5,2,2
21,7,2,2
21,64,1,2
21,84,2,2
21,45,2,2
21,6,2,2
21,35,1,2
21,29,2,2
22,4,2,1
22,6,1,1
22,29,1,1
