day,hour,minute,second,question,worker,answer,gt
0,0,0,0,491,10,2,2
0,0,0,0,147,5,2,2
0,0,0,0,305,6,2,2
0,0,0,0,305,13,2,2
0,0,0,0,385,1,2,2
0,0,0,0,447,56,1,2
0,0,0,0,732,1,1,1
0,0,0,0,17,15,2,2
0,0,0,0,179,13,2,2
0,0,0,0,281,15,2,2
0,0,0,0,380,62,1,1
0,0,0,0,136,30,2,1
0,0,0,0,90,47,1,1
0,0,0,0,107,3,2,2
0,0,0,0,416,28,1,1
0,0,0,0,291,6,2,2
0,0,0,0,148,7,1,1
0,0,0,0,728,18,1,1
0,0,0,0,581,5,1,2
0,0,0,0,479,29,2,2
0,0,0,0,326,7,1,1
0,0,0,0,800,8,1,1
0,0,0,0,98,2,1,1
0,0,0,0,608,41,1,1
0,0,0,0,92,11,2,1
0,0,0,0,414,3,1,1
0,0,0,0,287,2,2,2
0,0,0,0,11,16,2,2
0,0,0,0,702,29,1,1
0,0,0,0,40,22,1,1
0,0,0,0,715,46,1,2
0,0,0,0,713,26,2,2
0,0,0,0,411,17,2,2
0,0,0,0,296,27,1,1
0,0,0,0,505,17,2,2
0,0,0,0,144,10,1,1
0,0,0,0,343,11,1,2
0,0,0,0,424,10,1,1
0,0,0,0,568,10,2,1
0,0,0,0,702,35,2,1
0,0,0,0,547,34,2,2
0,0,0,0,80,23,2,1
0,0,0,0,261,20,2,2
0,0,0,0,661,9,2,2
0,0,0,0,272,6,1,1
0,0,0,0,218,1,2,1
0,0,0,0,764,8,1,1
0,0,0,0,338,13,2,1
0,0,0,0,475,6,2,2
0,0,0,0,248,11,1,1
0,0,0,0,496,18,1,1
0,0,0,0,595,3,2,2
0,0,0,0,418,1,1,1
0,0,0,0,363,29,2,2
0,0,0,0,626,19,1,1
0,0,0,0,521,8,2,2
0,0,0,0,463,4,2,2
0,0,0,0,164,57,1,1
0,0,0,0,247,85,1,2
0,0,0,0,613,2,2,2
0,0,0,0,718,8,1,1
0,0,0,0,547,30,2,2
0,0,0,0,778,31,2,1
0,0,0,0,406,1,2,1
0,0,0,0,457,4,2,2
0,0,0,0,565,35,1,2
0,0,0,0,800,2,1,1
0,0,0,0,15,6,1,2
0,0,0,0,375,5,2,2
0,0,0,0,318,2,2,1
0,0,0,0,608,10,1,1
0,0,0,0,475,22,1,2
0,0,0,0,454,5,1,1
0,0,0,0,591,10,1,2
0,0,0,0,268,17,1,1
0,0,0,0,444,12,1,1
0,0,0,0,50,50,1,1
0,0,0,0,107,72,2,2
0,0,0,0,709,2,2,2
0,0,0,0,451,37,2,2
0,0,0,0,528,53,1,1
0,0,0,0,700,28,2,1
0,0,0,0,683,39,1,2
0,0,0,0,171,2,2,2
0,0,0,0,336,9,1,1
0,0,0,0,656,15,1,1
0,0,0,0,109,7,2,2
0,0,0,0,729,7,2,2
0,0,0,0,250,35,1,1
0,0,0,0,364,28,1,1
0,0,0,0,135,30,2,2
0,0,0,0,276,42,2,1
0,0,0,0,702,17,1,1
0,0,0,0,239,34,2,2
0,0,0,0,143,15,2,2
0,0,0,0,605,26,2,2
0,0,0,0,612,57,1,1
0,0,0,0,235,88,2,2
0,0,0,0,196,2,1,1
0,0,0,0,219,22,1,2
0,0,0,0,587,26,2,2
0,0,0,0,688,20,1,1
0,0,0,0,107,2,2,2
0,0,0,0,493,86,2,2
0,0,0,0,618,11,1,1
0,0,0,0,306,48,1,1
0,0,0,0,781,1,2,2
0,0,0,0,175,30,2,2
0,0,0,0,151,23,2,2
0,0,0,0,99,11,1,2
0,0,0,0,672,33,1,1
0,0,0,0,253,10,1,2
0,0,0,0,627,32,2,2
0,0,0,0,640,18,1,1
0,0,0,0,558,1,2,1
0,0,0,0,314,8,1,1
0,0,0,0,716,43,1,1
0,0,0,0,62,14,1,1
0,0,0,0,399,23,1,2
0,0,0,0,541,22,2,2
0,0,0,0,566,3,1,1
0,0,0,0,145,21,2,2
0,0,0,0,224,27,1,1
0,0,0,0,751,12,1,2
0,0,0,0,371,14,2,2
0,0,0,0,304,30,1,1
0,0,0,0,267,84,2,2
0,0,0,0,411,24,2,2
0,0,0,0,550,47,1,1
0,0,0,0,259,6,1,2
0,0,0,0,532,16,1,1
0,0,0,0,617,12,2,2
0,0,0,0,336,8,1,1
0,0,0,0,440,6,2,1
0,0,0,0,491,14,2,2
0,0,0,0,240,6,1,1
0,0,0,0,645,14,1,2
0,0,0,0,481,5,1,2
0,0,0,0,178,20,1,1
0,0,0,0,322,7,1,1
0,0,0,0,227,1,1,2
0,0,0,0,454,52,2,1
0,0,0,0,42,57,2,1
0,0,0,0,340,28,2,1
0,0,0,0,194,25,2,1
0,0,0,0,373,8,2,2
0,0,0,0,611,17,2,2
0,0,0,0,28,1,2,1
0,0,0,0,180,39,1,1
0,0,0,0,766,49,1,1
0,0,0,0,186,12,1,1
0,0,0,0,785,6,2,2
0,0,0,0,541,102,1,2
0,0,0,0,12,44,1,1
0,0,0,0,635,13,2,2
0,0,0,0,69,7,2,2
0,0,0,0,777,51,1,2
0,0,0,0,653,8,2,2
0,0,0,0,405,5,1,2
0,0,0,0,259,29,2,2
0,0,0,0,602,5,2,1
0,0,0,0,497,15,2,2
0,0,0,0,352,29,1,1
0,0,0,0,730,6,1,1
0,0,0,0,410,13,2,1
0,0,0,0,797,33,2,2
0,0,0,0,554,16,2,1
0,0,0,0,201,28,2,2
0,0,0,0,442,24,1,1
0,0,0,0,515,45,1,2
0,0,0,0,788,43,1,1
0,0,0,0,472,41,1,1
0,0,0,0,489,3,2,2
0,0,0,0,728,10,1,1
0,0,0,0,592,28,1,1
0,0,0,0,521,5,1,2
0,0,0,0,576,25,1,1
0,0,0,0,575,15,1,2
0,0,0,0,297,69,1,2
0,0,0,0,679,2,2,2
0,0,0,0,99,30,2,2
0,0,0,0,389,14,2,2
0,0,0,0,162,15,1,1
0,0,0,0,791,26,2,2
0,0,0,0,209,11,2,2
0,0,0,0,74,12,1,1
0,0,0,0,470,36,1,1
0,0,0,0,664,14,2,1
0,0,0,0,327,27,2,2
0,0,0,0,637,5,2,2
0,0,0,0,677,64,1,2
0,0,0,0,411,9,1,2
0,0,0,0,338,26,1,1
0,0,0,0,629,23,2,2
0,0,0,0,269,66,1,2
0,0,0,0,297,12,2,2
0,0,0,0,385,67,2,2
0,0,0,0,274,19,1,1
0,0,0,0,768,2,1,1
0,0,0,0,668,32,1,1
0,0,0,0,386,10,1,1
0,0,0,0,778,22,1,1
0,0,0,0,654,4,2,1
0,0,0,0,486,16,1,1
0,0,0,0,741,23,1,2
0,0,0,0,95,48,2,2
0,0,0,0,206,3,1,1
0,0,0,0,85,64,1,2
0,0,0,0,737,7,2,2
0,0,0,0,443,3,2,2
0,0,0,0,116,1,2,1
0,0,0,0,754,3,1,1
0,0,0,0,459,44,2,2
0,0,0,0,32,1,2,1
0,0,0,0,511,41,2,2
0,0,0,0,710,10,1,1
0,0,0,0,157,22,2,2
0,0,0,0,795,34,1,2
0,0,0,0,242,12,1,1
0,0,0,0,265,8,2,2
0,0,0,0,628,10,1,1
0,0,0,0,380,7,1,1
