workers,ks,sum_W,sum_W,find
107.0,1,1.6,3.374956371763009,0
113.0,2,6.4,27.495046181643488,0
100.0,3,12.799999999999999,1159172.7335625044,1
93.0,4,14.399999999999999,122.22237381258314,0
97.0,4,14.399999999999999,1016107.3239339266,0
111.0,4,16.035555555555554,1158295.3928319884,0
117.0,4,14.399999999999999,1194054.883576955,0
105.0,5,18.880000000000003,904.7881275777753,0
118.0,5,15.999999999999998,1018176.093772783,0
99.0,6,21.93777777777778,1016223.1369737468,0
112.0,6,19.520000000000003,121748.88324098545,0
90.0,7,26.28266666666667,1136530.8012459707,0
115.0,7,24.576000000000008,120952.11550704029,0
116.0,7,20.16,1194302.4330681176,0
120.0,7,21.120000000000005,3332.622674775776,0
95.0,8,21.76,156677.36618405554,0
108.0,8,25.216000000000008,98684.37802714849,0
119.0,8,21.76,1017034.53831447,0
106.0,9,23.36,220069.54889159082,1
109.0,9,25.955555555555563,2294330.009682091,0
102.0,10,30.826666666666668,1235007.021567823,0
114.0,10,26.496000000000006,1016351.618355147,0
73.0,11,37.79982222222223,1016157.5195046492,0
80.0,11,31.07555555555556,1159416.9145507682,1
101.0,11,27.235555555555564,37103.16439024724,0
103.0,11,30.407111111111124,1018634.8033001743,0
4.0,11,64.70034189725166,67.8478712119017,0
23.0,12,144.32035589389437,371.1822038956823,0
91.0,12,37.37856000000001,122189.86357666465,0
110.0,12,30.720000000000013,2330255.2579759485,0
76.0,13,50.23715555555557,1193467.9541233585,0
79.0,13,32.64000000000001,1172512.4129511898,0
94.0,13,42.94798222222224,121407.64545297815,0
104.0,13,31.36000000000001,1115444.9422411844,0
21.0,13,75.4079046129043,80.80012506403176,0
82.0,13,46.19776000000002,36221.18550302671,0
56.0,14,56.805069883597895,412.1816711102651,0
70.0,14,65.64986034793651,97101.29057971659,0
81.0,14,44.06755555555557,97981.20076710901,0
84.0,14,59.499817989418,1290859.3867546318,0
43.0,14,58.95509934136021,91.18594472860397,0
1.0,15,149.54284088180847,1017233.631388839,0
22.0,15,94.49877840936425,156.40116675847148,0
61.0,15,48.014249312169326,133489.5960487529,0
89.0,15,46.75982222222224,1376898.1394058757,0
64.0,16,70.25323128301255,1340.8477145688234,0
96.0,16,46.61333333333335,1269892.0774676714,0
5.0,17,159.02020116539498,253213.23273153626,0
13.0,18,336.05707868849106,1113559.616928337,0
20.0,18,138.91509004685093,1017385.7490697199,0
35.0,18,167.86880988520727,1139916.825405283,0
54.0,18,97.7034455577879,2331481.827846385,0
68.0,18,46.979697777777794,157482.00407381947,0
92.0,18,51.84711111111113,2210409.703753191,0
9.0,18,155.20751730804943,1018213.8463797607,0
40.0,18,102.10333119265218,2554.383060137921,0
98.0,18,52.23822222222225,1257444.3792947312,0
37.0,18,205.04239618253484,1159779.9010675019,0
11.0,19,158.41145602282344,958.8540956608047,0
47.0,19,123.95462688694339,99309.11645132201,0
66.0,19,68.45272042328043,121502.96531826475,1
87.0,19,70.77120000000001,2296902.1407729024,0
46.0,20,149.29645436873477,98191.05818538794,0
67.0,20,47.24622222222224,2427898.297366287,0
27.0,20,139.8595101340642,1375574.5946322344,0
44.0,20,182.39868956380846,1257030.836729195,0
45.0,20,113.79476701353026,2273295.4041256043,0
12.0,20,325.69978583346506,1233898.6687627295,0
14.0,20,155.33480394060282,1157830.4335573812,0
25.0,20,181.83901586934275,2393392.2923051883,0
59.0,20,165.37531708071268,122029.73763963128,0
77.0,20,72.96625777777777,1377521.4950168328,0
86.0,21,51.389155555555575,2429791.038953158,0
6.0,22,683.6542106820552,2391724.7700516656,0
33.0,22,288.2521620042506,218649.42280931814,0
42.0,22,124.58126136023947,156875.38639434087,0
85.0,22,92.56866268783064,2297442.7324215192,0
88.0,22,84.27730488888885,1151751.341239416,0
28.0,22,185.78771434057134,1139602.6922346887,0
60.0,22,316.8379320433639,2393556.7492989544,0
71.0,22,79.60945777777775,2429570.3714972446,0
75.0,22,67.8687288888889,1270492.489246582,0
62.0,22,111.1429277786299,2331224.116081437,1
52.0,23,121.90994039015162,1291880.9757631416,1
58.0,24,128.89517971640208,2429489.5922177797,0
83.0,24,81.03253333333329,1115686.7167012193,0
34.0,24,314.29167788054275,1376209.601180867,1
50.0,24,121.06680551598062,1234303.843896749,0
65.0,24,181.21685035365797,2429766.1595895384,0
72.0,24,116.33368340317453,1270398.5533985118,0
19.0,25,930.8257835591069,2393540.682560068,0
57.0,25,159.54121633417247,2393730.7299836036,0
78.0,25,99.22436740740739,2427850.7378874165,1
49.0,25,307.4491734956673,2333148.786355408,0
69.0,25,93.55379132275128,2273841.3419303517,0
39.0,26,254.38841489882418,1234078.5183167665,0
63.0,26,89.65552942551832,1196693.051109603,0
51.0,27,210.1702306693372,1235180.9924021235,0
3.0,27,2781.2305462009335,2394297.941417138,0
26.0,27,298.19520148323227,2430035.7382531674,0
10.0,27,1677.6328363353005,2430055.333853136,0
15.0,27,1680693.8825551276,2394126.737044669,0
17.0,27,5903074.960655592,2333373.3250223026,0
18.0,27,3552.4082452470398,2333031.9510133737,0
32.0,27,7959.0823670040945,2394299.635891226,1
36.0,27,1329.7959575998445,2394325.1221947707,0
53.0,27,227.90630656795176,2429950.6090881964,0
74.0,27,96.86120296296289,2333335.4897728,0
