workers,ks,KKKj,find
113.0,10,5.59698402669609,1
105.0,11,5.798098340303877,0
104.0,13,5.9325306868520595,0
81.0,17,5.96374846022777,0
64.0,23,6.622961955799373,0
23.0,23,6.637650233173536,0
94.0,20,7.09208157451943,0
1.0,30,7.171060176356647,0
119.0,13,7.764730236264114,0
108.0,16,7.949270757415459,1
112.0,11,8.416886559777344,1
120.0,12,8.42488341515794,1
116.0,15,8.770908339595252,1
100.0,15,8.783607343142712,1
93.0,8,8.89834958246506,0
117.0,9,8.975047997226962,0
77.0,29,9.155564002599279,0
97.0,9,9.20824653152141,1
118.0,11,9.357627513956672,0
68.0,29,9.376674418634973,0
114.0,14,9.392537513283182,0
102.0,16,9.452690189948896,0
110.0,18,9.502514184650966,1
111.0,13,9.53680922483231,1
5.0,26,9.56135818763957,0
91.0,17,9.58618581204039,1
11.0,31,9.593333052411738,0
80.0,19,9.605642935134433,0
84.0,18,9.606992252948288,0
101.0,19,9.644310210362566,1
14.0,33,9.664480082798995,0
95.0,17,9.67865589066068,1
52.0,18,9.706716078965202,0
79.0,18,9.737347498236996,0
87.0,23,9.754236397802606,0
109.0,19,9.764474950149935,1
56.0,23,9.823210766333837,0
115.0,19,9.828212620207733,1
44.0,33,9.837071864753199,0
66.0,24,9.848907609470768,0
70.0,22,9.855798048202647,0
89.0,21,9.85874843181142,1
103.0,29,9.877040950798737,1
98.0,28,9.88211366320003,0
90.0,21,9.88956427793574,1
96.0,22,9.927917719452164,0
83.0,27,9.950286819119587,0
88.0,29,9.956405559524159,0
76.0,25,9.96126227512955,1
92.0,25,9.99235365215966,0
86.0,25,10.020340599637507,1
99.0,25,10.062546508870573,1
67.0,25,10.079918178039213,0
33.0,33,10.14709450261644,0
106.0,33,10.159659454250287,1
47.0,29,10.176654533507293,0
75.0,31,10.224583119790715,0
54.0,32,10.252034906924667,0
61.0,31,10.285384078819968,1
62.0,33,10.320172694614772,0
72.0,33,10.332682507063872,0
82.0,36,10.334247109744869,1
71.0,34,10.34789920580165,1
73.0,34,10.352261052621694,1
74.0,38,10.361638428121717,1
37.0,31,10.447601351761616,0
26.0,33,10.494063021615428,0
69.0,37,10.497446867007106,1
85.0,35,10.516874902334946,1
78.0,39,10.533273652813943,1
63.0,36,10.534773946626787,1
34.0,33,10.555698189239074,0
49.0,33,10.601406016042414,0
60.0,36,10.615103168614635,0
25.0,37,10.631770653400828,0
45.0,37,10.735153271305832,1
28.0,33,10.807681882425124,0
30.0,37,10.89413160159763,0
58.0,41,10.895965496752378,1
53.0,41,10.927889560317366,1
50.0,39,10.94930314191492,1
59.0,37,10.950951179150088,1
6.0,33,10.954816695730287,0
65.0,39,10.9676484072919,1
48.0,37,10.981624938020646,0
15.0,33,11.001050718543489,0
57.0,37,11.032262293921955,1
55.0,41,11.081838048182945,1
51.0,37,11.21677590083128,1
42.0,39,11.22007328517467,1
10.0,33,11.253919890617121,0
19.0,39,11.377822389935465,0
36.0,37,11.55700617128573,0
43.0,37,11.5899049098593,1
3.0,33,11.608451091580456,0
40.0,37,11.906616043976175,1
39.0,39,11.914163510669288,1
38.0,41,12.019072176534761,1
32.0,37,12.24601451618829,0
35.0,37,12.39075364468196,1
24.0,37,12.427352639011911,0
21.0,40,12.52685425201684,1
46.0,39,12.951024356666544,1
12.0,41,13.088938334158149,1
31.0,37,13.094882474430522,1
17.0,37,13.107642547569949,0
41.0,37,13.370211572333766,1
20.0,41,13.587999069976325,1
22.0,41,13.754602157251842,1
29.0,37,13.882097096678812,1
7.0,40,14.086234387922216,0
16.0,41,14.101784326668579,0
27.0,37,14.90918080398799,1
18.0,37,15.807319615531473,1
8.0,41,16.171732503744998,1
13.0,41,16.78981316918962,1
4.0,41,16.82694543173721,1
9.0,41,17.43031590559015,1
2.0,41,17.435143002402633,1
