day,hour,minute,second,question,worker,answer,gt
0,0,0,0,608,10,1,1
0,0,0,0,628,26,1,1
0,0,0,0,296,53,1,1
0,0,0,0,424,44,1,1
0,0,0,0,511,56,2,2
0,0,0,0,605,44,2,2
0,0,0,0,674,112,1,1
0,0,0,0,651,10,2,2
0,0,0,0,306,27,1,1
0,0,0,0,475,56,2,2
0,0,0,0,355,24,2,2
0,0,0,0,73,26,1,2
0,0,0,0,523,88,2,2
0,0,0,0,535,30,2,2
0,0,0,0,446,29,2,1
0,0,0,0,702,44,1,1
0,0,0,0,451,48,2,2
0,0,0,0,620,64,1,1
0,0,0,0,263,59,2,2
0,0,0,0,403,53,2,2
0,0,0,0,791,8,2,2
0,0,0,0,158,44,1,1
0,0,0,0,43,8,2,2
0,0,0,0,430,10,2,1
0,0,0,0,599,24,2,2
0,0,0,0,253,41,1,2
0,0,0,0,243,24,2,2
0,0,0,0,284,43,1,1
0,0,0,0,194,10,1,1
0,0,0,0,175,53,2,2
0,0,0,0,751,71,2,2
0,0,0,0,791,60,2,2
0,0,0,0,640,43,1,1
0,0,0,0,691,60,2,2
0,0,0,0,389,43,2,2
0,0,0,0,20,24,1,1
0,0,0,0,353,24,1,2
0,0,0,0,311,26,2,2
0,0,0,0,477,30,2,2
0,0,0,0,472,71,1,1
0,0,0,0,466,10,1,1
0,0,0,0,721,10,2,2
0,0,0,0,777,24,1,2
0,0,0,0,760,24,2,1
0,0,0,0,585,27,2,2
0,0,0,0,169,71,2,2
0,0,0,0,311,103,2,2
0,0,0,0,184,30,1,1
0,0,0,0,610,26,1,1
0,0,0,0,193,8,1,2
0,0,0,0,628,27,1,1
0,0,0,0,424,37,1,1
0,0,0,0,85,10,1,2
0,0,0,0,591,24,1,2
0,0,0,0,668,10,1,1
0,0,0,0,784,30,1,1
0,0,0,0,528,103,1,1
0,0,0,0,693,56,1,2
0,0,0,0,479,8,2,2
0,0,0,0,634,8,1,1
0,0,0,0,271,8,1,2
0,0,0,0,439,56,2,2
0,0,0,0,39,41,2,2
0,0,0,0,131,50,2,2
0,0,0,0,599,10,2,2
0,0,0,0,247,108,1,2
0,0,0,0,71,8,2,2
0,0,0,0,597,53,1,2
0,0,0,0,580,88,2,1
0,0,0,0,314,24,1,1
0,0,0,0,392,8,2,1
0,0,0,0,464,30,1,1
0,0,0,0,12,37,1,1
0,0,0,0,250,26,1,1
0,0,0,0,690,48,1,1
0,0,0,0,261,8,2,2
0,0,0,0,23,29,2,2
0,0,0,0,334,29,1,1
0,0,0,0,239,52,2,2
0,0,0,0,428,10,1,1
0,0,0,0,194,8,1,1
0,0,0,0,469,10,2,2
0,0,0,0,657,30,2,2
0,0,0,0,69,10,2,2
0,0,0,0,140,8,1,1
0,0,0,0,371,60,2,2
0,0,0,0,221,26,2,2
0,0,0,0,498,26,1,1
0,0,0,0,256,56,2,1
0,0,0,0,568,8,2,1
0,0,0,0,480,84,1,1
0,0,0,0,628,8,1,1
0,0,0,0,420,10,1,1
0,0,0,0,589,60,1,2
0,0,0,0,466,37,1,1
0,0,0,0,767,30,2,2
0,0,0,0,284,8,1,1
0,0,0,0,768,44,1,1
0,0,0,0,379,43,2,2
0,0,0,0,225,24,2,2
0,0,0,0,553,29,2,2
0,0,0,0,623,29,1,2
0,0,0,0,30,29,1,1
0,0,0,0,736,8,1,1
0,0,0,0,333,24,2,2
0,0,0,0,436,10,1,1
0,0,0,0,142,30,2,1
0,0,0,0,545,24,1,2
0,0,0,0,373,10,2,2
0,0,0,0,131,56,2,2
0,0,0,0,433,29,1,2
0,0,0,0,723,43,2,2
0,0,0,0,126,10,1,1
0,0,0,0,551,41,1,2
0,0,0,0,258,8,1,1
0,0,0,0,552,59,1,1
0,0,0,0,64,8,1,1
0,0,0,0,241,43,2,2
0,0,0,0,654,64,1,1
0,0,0,0,420,8,1,1
0,0,0,0,183,10,2,2
0,0,0,0,686,30,1,1
0,0,0,0,671,27,2,2
0,0,0,0,553,10,2,2
0,0,0,0,122,8,1,1
0,0,0,0,718,84,1,1
0,0,0,0,591,26,1,2
0,0,0,0,788,10,1,1
0,0,0,0,686,27,1,1
0,0,0,0,511,52,2,2
0,0,0,0,335,75,2,2
0,0,0,0,399,43,2,2
0,0,0,0,547,71,2,2
0,0,0,0,708,27,1,1
0,0,0,0,793,10,2,2
0,0,0,0,64,26,1,1
0,0,0,0,756,24,1,1
0,0,0,0,233,41,2,2
0,0,0,0,232,64,1,1
0,0,0,0,105,64,2,2
0,0,0,0,612,10,1,1
0,0,0,0,348,24,1,1
0,0,0,0,622,26,1,1
0,0,0,0,479,10,2,2
0,0,0,0,335,29,2,2
0,0,0,0,111,26,1,2
0,0,0,0,11,27,2,2
0,0,0,0,372,8,1,1
0,0,0,0,449,8,2,2
0,0,0,0,235,60,2,2
0,0,0,0,253,43,1,2
0,0,0,0,532,56,1,1
0,0,0,0,150,10,1,1
0,0,0,0,434,27,2,1
0,0,0,0,120,10,2,1
0,0,0,0,242,29,2,1
0,0,0,0,442,26,1,1
0,0,0,0,771,26,2,2
0,0,0,0,278,89,1,1
0,0,0,0,645,50,1,2
0,0,0,0,4,37,2,1
0,0,0,0,491,26,2,2
0,0,0,0,86,29,1,1
0,0,0,0,2,10,1,1
0,0,0,0,624,37,1,1
0,0,0,0,667,10,2,2
0,0,0,0,13,10,2,2
0,0,0,0,12,48,1,1
0,0,0,0,705,71,2,2
0,0,0,0,373,30,2,2
0,0,0,0,711,30,2,2
0,0,0,0,420,56,1,1
0,0,0,0,386,88,1,1
0,0,0,0,12,85,1,1
0,0,0,0,144,29,1,1
0,0,0,0,560,74,2,1
0,0,0,0,513,8,1,2
0,0,0,0,531,85,2,2
0,0,0,0,470,59,2,1
0,0,0,0,443,50,2,2
0,0,0,0,177,26,2,2
0,0,0,0,623,92,1,2
0,0,0,0,511,59,2,2
0,0,0,0,283,24,1,2
0,0,0,0,352,8,1,1
0,0,0,0,790,10,1,1
0,0,0,0,433,24,1,2
0,0,0,0,599,44,2,2
0,0,0,0,444,29,1,1
0,0,0,0,640,29,1,1
0,0,0,0,167,53,1,2
0,0,0,0,205,29,2,2
0,0,0,0,789,48,2,2
0,0,0,0,498,30,1,1
0,0,0,0,502,30,1,1
0,0,0,0,519,8,2,2
0,0,0,0,760,52,2,1
0,0,0,0,719,26,2,2
0,0,0,0,182,44,1,1
0,0,0,0,667,24,2,2
0,0,0,0,728,52,1,1
0,0,0,0,181,30,2,2
0,0,0,0,583,10,2,2
0,0,0,0,461,59,2,2
0,0,0,0,325,27,2,2
0,0,0,0,443,30,2,2
0,0,0,0,707,8,1,2
0,0,0,0,645,29,1,2
0,0,0,0,619,48,2,2
0,0,0,0,696,8,1,1
0,0,0,0,583,26,2,2
0,0,0,0,458,8,1,1
0,0,0,0,621,27,2,2
0,0,0,0,95,29,2,2
0,0,0,0,276,29,1,1
0,0,0,0,315,41,2,2
0,0,0,0,620,10,1,1
0,0,0,0,582,27,1,1
0,0,0,0,15,37,2,2
0,0,0,0,151,8,2,2
0,0,0,0,339,85,2,2
0,0,0,0,708,56,1,1
0,0,0,0,227,44,2,2
0,0,0,0,39,29,2,2
0,0,0,0,75,8,2,2
0,0,0,0,162,8,2,1
0,0,0,0,250,50,1,1
0,0,0,0,285,10,1,2
0,0,0,0,305,37,2,2
0,0,0,0,428,27,1,1
0,0,0,0,464,10,1,1
0,0,0,0,570,10,1,1
0,0,0,0,227,24,2,2
0,0,0,0,371,44,2,2
0,0,0,0,352,44,1,1
0,0,0,0,482,10,2,1
0,0,0,0,341,10,2,2
0,0,0,0,394,24,1,1
0,0,0,0,38,10,1,1
0,0,0,0,278,30,1,1
0,0,0,0,734,8,1,1
0,0,0,0,614,10,1,1
0,0,0,0,37,48,2,2
0,0,0,0,551,50,1,2
0,0,0,0,773,41,2,2
0,0,0,0,419,10,2,2
0,0,0,0,243,29,2,2
0,0,0,0,288,43,1,1
0,0,0,0,623,8,1,2
0,0,0,0,239,27,2,2
0,0,0,0,495,8,2,2
0,0,0,0,246,10,1,1
0,0,0,0,21,64,2,2
0,0,0,0,528,106,1,1
0,0,0,0,72,74,1,1
0,0,0,0,726,8,1,1
0,0,0,0,762,30,1,1
0,0,0,0,748,84,2,1
0,0,0,0,237,10,2,2
0,0,0,0,705,8,2,2
0,0,0,0,562,26,1,1
0,0,0,0,302,24,1,1
0,0,0,0,734,56,1,1
0,0,0,0,313,10,2,2
0,0,0,0,482,30,2,1
0,0,0,0,528,29,1,1
0,0,0,0,168,24,1,1
0,0,0,0,798,48,1,1
0,0,0,0,613,59,2,2
0,0,0,0,146,29,1,1
0,0,0,0,753,48,2,2
0,0,0,0,113,10,2,2
0,0,0,0,799,41,2,2
0,0,0,0,125,48,1,2
0,0,0,0,259,8,2,2
0,0,0,0,540,37,1,1
0,0,0,0,252,30,1,1
0,0,0,0,346,60,1,1
0,0,0,0,434,10,2,1
0,0,0,0,6,10,1,1
0,0,0,0,309,29,2,2
0,0,0,0,544,24,1,1
0,0,0,0,317,89,2,2
0,0,0,0,768,8,1,1
0,0,0,0,747,43,2,2
0,0,0,0,691,10,2,2
0,0,0,0,749,8,1,2
0,0,0,0,704,84,1,1
0,0,0,0,26,53,1,1
0,0,0,0,349,37,2,2
0,0,0,0,80,8,1,1
0,0,0,0,677,37,1,2
0,0,0,0,610,24,1,1
0,0,0,0,33,27,2,2
0,0,0,0,146,37,1,1
0,0,0,0,538,27,2,1
0,0,0,0,45,37,2,2
0,0,0,0,324,26,1,1
0,0,0,0,288,30,1,1
0,0,0,0,269,43,2,2
0,0,0,0,135,8,2,2
0,0,0,0,650,26,1,1
0,0,0,0,780,26,1,1
0,0,0,0,509,24,2,2
0,0,0,0,648,30,1,1
0,0,0,0,167,26,1,2
0,0,0,0,242,84,2,1
0,0,0,0,8,8,2,1
0,0,0,0,182,30,1,1
0,0,0,0,308,24,1,1
0,0,0,0,202,24,1,1
0,0,0,0,677,8,1,2
0,0,0,0,68,8,1,1
0,0,0,0,570,37,1,1
0,0,0,0,449,50,2,2
0,0,0,0,636,60,2,1
0,0,0,0,342,56,1,1
0,0,0,0,283,64,1,2
0,0,0,0,545,10,1,2
0,0,0,0,146,59,1,1
0,0,0,0,149,29,2,2
0,0,0,0,191,8,1,2
0,0,0,0,713,44,2,2
0,0,0,0,386,29,1,1
0,0,0,0,353,84,1,2
0,0,0,0,175,10,2,2
0,0,0,0,105,8,2,2
0,0,0,0,507,10,2,2
0,0,0,0,540,26,1,1
0,0,0,0,48,27,1,1
0,0,0,0,614,56,1,1
0,0,0,0,352,10,1,1
0,0,0,0,168,26,1,1
0,0,0,0,732,10,1,1
0,0,0,0,644,24,2,1
0,0,0,0,733,104,1,2
0,0,0,0,137,43,2,2
0,0,0,0,295,24,2,2
0,0,0,0,640,24,1,1
0,0,0,0,291,29,2,2
0,0,0,0,248,10,1,1
0,0,0,0,249,26,2,2
0,0,0,0,443,26,2,2
0,0,0,0,266,26,1,1
0,0,0,0,1,26,2,2
0,0,0,0,678,37,2,1
0,0,0,0,442,8,1,1
0,0,0,0,567,24,1,2
0,0,0,0,749,56,1,2
0,0,0,0,546,53,1,1
0,0,0,0,156,29,1,1
0,0,0,0,633,29,2,2
0,0,0,0,642,8,1,1
0,0,0,0,87,44,2,2
0,0,0,0,62,48,1,1
0,0,0,0,606,64,1,1
0,0,0,0,438,52,1,1
0,0,0,0,514,29,2,1
0,0,0,0,2,8,1,1
0,0,0,0,721,26,2,2
0,0,0,0,114,8,1,1
0,0,0,0,258,26,1,1
0,0,0,0,388,8,1,1
0,0,0,0,714,41,2,1
0,0,0,0,266,71,1,1
0,0,0,0,275,37,2,2
0,0,0,0,22,29,1,1
0,0,0,0,149,8,2,2
0,0,0,0,597,26,1,2
0,0,0,0,584,56,1,1
0,0,0,0,112,10,1,1
0,0,0,0,521,43,2,2
0,0,0,0,727,44,2,2
0,0,0,0,541,10,1,2
0,0,0,0,470,8,2,1
0,0,0,0,613,26,2,2
0,0,0,0,17,8,1,2
0,0,0,0,4,44,2,1
0,0,0,0,561,30,1,2
0,0,0,0,472,10,1,1
0,0,0,0,762,103,1,1
0,0,0,0,529,10,2,2
0,0,0,0,236,52,2,1
0,0,0,0,547,26,2,2
0,0,0,0,551,8,1,2
0,0,0,0,318,26,1,1
0,0,0,0,78,10,1,1
0,0,0,0,224,74,1,1
0,0,0,0,609,10,2,2
0,0,0,0,57,56,1,2
0,0,0,0,120,8,2,1
0,0,0,0,7,44,2,2
0,0,0,0,46,75,1,1
0,0,0,0,242,30,2,1
0,0,0,0,453,29,2,2
0,0,0,0,16,8,1,1
0,0,0,0,615,24,2,2
0,0,0,0,438,60,1,1
0,0,0,0,764,29,1,1
0,0,0,0,646,10,2,1
0,0,0,0,552,53,1,1
0,0,0,0,338,27,1,1
0,0,0,0,136,52,2,1
0,0,0,0,137,10,2,2
0,0,0,0,652,41,1,1
0,0,0,0,353,29,1,2
0,0,0,0,219,24,2,2
0,0,0,0,403,8,2,2
0,0,0,0,554,27,1,1
0,0,0,0,634,29,1,1
0,0,0,0,251,26,2,2
0,0,0,0,574,84,2,1
0,0,0,0,295,26,2,2
0,0,0,0,730,30,1,1
0,0,0,0,240,24,2,1
0,0,0,0,287,10,2,2
0,0,0,0,389,24,2,2
0,0,0,0,370,24,1,1
0,0,0,0,492,27,1,1
0,0,0,0,4,8,2,1
0,0,0,0,60,26,1,1
0,0,0,0,602,64,1,1
0,0,0,0,738,26,1,1
0,0,0,0,267,41,2,2
0,0,0,0,790,71,1,1
0,0,0,0,93,24,2,2
0,0,0,0,26,8,1,1
0,0,0,0,405,52,2,2
0,0,0,0,608,8,1,1
0,0,0,0,148,43,1,1
0,0,0,0,632,10,2,1
0,0,0,0,774,41,1,1
0,0,0,0,273,29,2,2
0,0,0,0,194,48,1,1
0,0,0,0,497,52,2,2
0,0,0,0,562,8,1,1
0,0,0,0,337,27,2,2
0,0,0,0,466,8,1,1
0,0,0,0,717,10,2,2
0,0,0,0,602,8,1,1
0,0,0,0,196,24,1,1
0,0,0,0,433,27,1,2
0,0,0,0,65,8,2,2
0,0,0,0,532,53,1,1
0,0,0,0,716,27,1,1
0,0,0,0,449,106,2,2
0,0,0,0,506,27,1,1
0,0,0,0,770,10,1,1
0,0,0,0,487,30,1,2
0,0,0,0,800,29,1,1
0,0,0,0,50,41,1,1
0,0,0,0,352,41,1,1
0,0,0,0,637,8,2,2
0,0,0,0,514,26,2,1
0,0,0,0,683,41,2,2
0,0,0,0,609,27,2,2
0,0,0,0,458,30,1,1
0,0,0,0,226,48,1,1
0,0,0,0,601,29,2,2
0,0,0,0,425,8,2,2
0,0,0,0,232,24,1,1
0,0,0,0,464,50,1,1
0,0,0,0,688,26,1,1
0,0,0,0,34,24,1,1
0,0,0,0,603,24,2,2
0,0,0,0,791,10,2,2
0,0,0,0,136,10,2,1
0,0,0,0,210,29,1,1
0,0,0,0,511,24,2,2
0,0,0,0,3,64,2,2
0,0,0,0,268,60,2,1
0,0,0,0,203,24,2,2
0,0,0,0,217,48,2,2
0,0,0,0,73,64,1,2
0,0,0,0,485,24,2,2
0,0,0,0,149,43,2,2
0,0,0,0,727,92,2,2
0,0,0,0,771,27,2,2
0,0,0,0,491,24,2,2
0,0,0,0,134,10,1,1
0,0,0,0,53,24,2,2
0,0,0,0,246,56,1,1
0,0,0,0,717,64,2,2
0,0,0,0,11,8,2,2
0,0,0,0,373,56,2,2
0,0,0,0,706,43,1,1
0,0,0,0,668,8,1,1
0,0,0,0,454,10,2,1
0,0,0,0,548,52,1,1
0,0,0,0,148,8,1,1
0,0,0,0,248,30,1,1
0,0,0,0,517,52,1,2
0,0,0,0,510,26,1,1
0,0,0,0,251,24,2,2
0,0,0,0,280,56,1,1
0,0,0,0,36,10,1,1
0,0,0,0,425,24,2,2
0,0,0,0,166,44,1,1
0,0,0,0,375,26,2,2
0,0,0,0,330,64,2,1
0,0,0,0,655,10,2,2
0,0,0,0,478,29,1,1
0,0,0,0,727,56,2,2
0,0,0,0,494,10,1,1
0,0,0,0,754,41,1,1
0,0,0,0,286,10,1,1
0,0,0,0,376,10,1,1
0,0,0,0,417,24,2,2
0,0,0,0,594,10,1,1
0,0,0,0,255,8,2,2
0,0,0,0,371,50,2,2
0,0,0,0,468,10,1,1
0,0,0,0,525,37,2,2
0,0,0,0,734,10,1,1
0,0,0,0,6,8,1,1
0,0,0,0,657,43,2,2
0,0,0,0,639,43,2,2
0,0,0,0,175,50,2,2
0,0,0,0,320,48,1,1
0,0,0,0,204,8,1,1
0,0,0,0,766,10,1,1
0,0,0,0,194,43,1,1
0,0,0,0,717,8,2,2
0,0,0,0,12,8,1,1
0,0,0,0,561,41,1,2
0,0,0,0,341,103,2,2
0,0,0,0,481,24,2,2
0,0,0,0,416,27,1,1
0,0,0,0,49,71,2,2
0,0,0,0,556,43,1,1
0,0,0,0,105,10,2,2
0,0,0,0,304,8,1,1
0,0,0,0,710,27,1,1
0,0,0,0,259,101,2,2
0,0,0,0,476,27,1,1
0,0,0,0,488,59,1,1
0,0,0,0,597,8,1,2
0,0,0,0,711,8,2,2
0,0,0,0,6,24,1,1
0,0,0,0,462,24,1,1
0,0,0,0,140,56,1,1
0,0,0,0,688,75,1,1
0,0,0,0,109,10,2,2
0,0,0,0,69,43,2,2
0,0,0,0,288,59,1,1
0,0,0,0,754,30,1,1
0,0,0,0,439,44,2,2
0,0,0,0,659,26,2,2
0,0,0,0,635,37,2,2
0,0,0,0,207,41,2,2
0,0,0,0,143,8,2,2
0,0,0,0,119,8,2,2
0,0,0,0,593,26,1,2
0,0,0,0,748,52,2,1
0,0,0,0,324,102,1,1
0,0,0,0,283,52,1,2
0,0,0,0,727,24,2,2
0,0,0,0,500,43,1,1
0,0,0,0,477,44,2,2
0,0,0,0,713,10,2,2
0,0,0,0,127,8,1,2
0,0,0,0,62,24,1,1
0,0,0,0,447,103,1,2
0,0,0,0,54,24,1,1
0,0,0,0,453,43,2,2
0,0,0,0,800,59,1,1
0,0,0,0,317,10,2,2
0,0,0,0,195,44,2,2
0,0,0,0,42,44,1,1
0,0,0,0,720,29,1,1
0,0,0,0,667,29,2,2
0,0,0,0,546,27,1,1
0,0,0,0,302,43,1,1
0,0,0,0,130,29,1,1
0,0,0,0,196,56,1,1
0,0,0,0,218,37,1,1
0,0,0,0,116,41,1,1
0,0,0,0,595,37,2,2
0,0,0,0,134,8,1,1
0,0,0,0,769,44,1,2
0,0,0,0,438,84,1,1
0,0,0,0,192,43,1,1
0,0,0,0,309,26,2,2
0,0,0,0,754,29,1,1
0,0,0,0,388,24,1,1
0,0,0,0,192,26,1,1
0,0,0,0,658,10,1,1
0,0,0,0,473,48,2,2
0,0,0,0,40,26,1,1
0,0,0,0,775,37,2,2
0,0,0,0,576,8,1,1
0,0,0,0,792,41,1,1
0,0,0,0,323,29,2,2
0,0,0,0,372,10,1,1
0,0,0,0,68,29,1,1
0,0,0,0,194,37,1,1
0,0,0,0,73,27,1,2
0,0,0,0,744,24,1,1
0,0,0,0,64,24,1,1
0,0,0,0,189,37,1,2
0,0,0,0,392,10,2,1
0,0,0,0,527,44,1,2
0,0,0,0,128,27,1,1
0,0,0,0,673,27,2,2
0,0,0,0,303,59,2,2
0,0,0,0,416,26,1,1
0,0,0,0,527,30,1,2
0,0,0,0,632,27,2,1
0,0,0,0,683,37,2,2
0,0,0,0,184,52,1,1
0,0,0,0,491,30,2,2
0,0,0,0,663,8,2,2
0,0,0,0,381,8,2,2
0,0,0,0,379,8,2,2
0,0,0,0,459,92,2,2
0,0,0,0,70,27,1,1
0,0,0,0,41,43,2,2
0,0,0,0,535,10,2,2
0,0,0,0,618,44,1,1
0,0,0,0,720,64,1,1
0,0,0,0,525,26,2,2
0,0,0,0,76,27,2,1
0,0,0,0,508,41,2,1
0,0,0,0,418,30,2,1
0,0,0,0,706,10,1,1
0,0,0,0,373,43,2,2
0,0,0,0,745,8,2,2
0,0,0,0,421,8,2,2
0,0,0,0,307,10,2,2
0,0,0,0,793,37,2,2
0,0,0,0,166,43,1,1
0,0,0,0,214,10,1,1
0,0,0,0,87,30,2,2
0,0,0,0,141,92,2,2
0,0,0,0,457,101,2,2
0,0,0,0,331,24,2,2
0,0,0,0,663,43,2,2
0,0,0,0,552,8,1,1
0,0,0,0,431,26,2,2
0,0,0,0,50,26,1,1
