woekers,ks,Ki,find
107.0,2,0.9626454309262886,1
97.0,3,1.791759469228055,0
100.0,4,2.0023662017662067,0
118.0,5,2.172829495251503,1
111.0,5,2.229777204305335,0
113.0,6,2.3511669672208697,1
105.0,6,2.4137485386978725,0
109.0,7,2.576634000483562,1
108.0,8,2.6348329538240183,0
119.0,9,2.6773295602407146,0
120.0,9,2.7027157229274263,0
116.0,10,2.740319461670996,0
112.0,10,2.8115296316918803,1
115.0,10,2.812413805220251,1
117.0,11,2.889236683628895,1
114.0,11,2.903900491176155,1
95.0,12,2.920083468131565,1
104.0,12,2.9285582472884517,1
93.0,11,2.953705445436043,1
110.0,13,3.008924056750291,0
76.0,13,3.152432756639586,0
80.0,14,3.200176181246824,0
79.0,15,3.2035410133400823,1
101.0,15,3.2354274743495295,0
96.0,14,3.2927451061551167,1
73.0,14,3.303711422417205,0
102.0,16,3.338877225476362,1
86.0,17,3.4027880737206284,0
87.0,17,3.458343434244621,1
106.0,20,3.4607687092483665,1
61.0,18,3.4780336131907084,0
92.0,21,3.532975704622034,0
90.0,20,3.548987793747295,1
103.0,22,3.5995270633126704,1
84.0,19,3.6063521342594087,0
89.0,21,3.606361332217448,1
68.0,22,3.6507042836867645,0
91.0,19,3.710514922990109,1
82.0,22,3.712086835255207,1
63.0,20,3.7374485398830517,0
67.0,25,3.7379078409260504,0
99.0,21,3.745163721897229,1
98.0,25,3.750809340577832,1
66.0,23,3.7971484093719106,0
22.0,18,3.806340062563354,0
78.0,21,3.8263150634406653,0
43.0,22,3.828100630383425,0
40.0,20,3.830029536574476,0
81.0,25,3.8555169584141984,1
88.0,22,3.8609950911744924,0
75.0,26,3.86983953450917,1
69.0,25,3.8822642537152454,0
77.0,25,3.978801327272677,1
45.0,25,3.9874647158502823,0
70.0,26,3.9948335404360282,1
94.0,26,4.000585822918048,1
54.0,22,4.027468353543872,0
83.0,29,4.047734771372429,1
71.0,29,4.050492154728975,0
74.0,33,4.115127189102862,0
20.0,22,4.179128579374257,0
62.0,28,4.18603219085414,0
57.0,26,4.230945621757862,0
34.0,25,4.277379561028978,0
65.0,25,4.366332208573254,0
9.0,21,4.381199594385485,0
60.0,29,4.384592843458861,0
85.0,29,4.42806818221879,1
11.0,24,4.4378762205142825,0
5.0,22,4.4394610263759535,0
14.0,27,4.531398904633987,0
37.0,26,4.549725347672681,0
25.0,29,4.577721491339973,0
27.0,31,4.58431914046703,0
59.0,33,4.635521600274717,1
39.0,33,4.751708445352763,0
64.0,33,4.789959006101874,1
72.0,34,4.806696958479169,1
6.0,26,4.9085623473308,0
12.0,26,5.007068543361143,0
53.0,34,5.069841595657363,1
50.0,34,5.087957849025511,1
51.0,34,5.222384100046566,1
46.0,33,5.374305105550149,1
48.0,34,5.440982096516887,0
58.0,34,5.511035084610302,1
52.0,34,5.618578837456834,1
56.0,34,5.619824433951939,1
36.0,33,5.6353629272315775,0
49.0,35,5.686428982766186,1
31.0,34,5.731206193510321,0
55.0,34,5.73970676274692,1
47.0,33,6.108030555793895,1
10.0,33,6.378499829413315,0
44.0,33,6.605108684140671,1
18.0,34,6.655006283353028,0
3.0,30,6.874280442036707,0
29.0,33,7.462914208548007,0
41.0,34,7.49462112369206,1
32.0,34,7.8361696527618605,1
35.0,34,8.109317746640858,1
33.0,33,8.259438214193098,1
30.0,34,8.39404592552797,1
42.0,33,8.52770098975671,1
38.0,34,8.85074216059714,1
7.0,35,8.963586111621792,0
23.0,34,9.956057803997497,1
28.0,33,10.005012762282437,1
21.0,34,10.1102648947914,1
15.0,32,10.294391327846931,0
17.0,34,11.050181116465438,0
8.0,34,11.20741924705835,0
26.0,35,11.74952414062434,1
2.0,33,12.477356772316943,0
24.0,35,12.50185641242754,0
19.0,34,12.935706697214979,1
13.0,34,15.446017118185624,1
4.0,33,20.022346401528633,1
16.0,34,20.63941950602355,1
1.0,33,20.738060078145125,1
