day,hour,minute,second,question,worker,answer,gt
0,0,0,0,5,25,2,2
0,0,0,0,576,20,1,1
0,0,0,0,25,25,1,2
0,0,0,0,15,35,1,2
0,0,0,0,102,35,1,1
0,0,0,0,458,74,1,1
0,0,0,0,702,4,2,1
0,0,0,0,685,36,2,2
0,0,0,0,537,25,2,2
0,0,0,0,702,58,2,1
0,0,0,0,566,81,1,1
0,0,0,0,765,36,2,2
0,0,0,0,80,51,2,1
0,0,0,0,747,85,1,2
0,0,0,0,665,20,2,2
0,0,0,0,21,45,1,2
0,0,0,0,239,33,2,2
0,0,0,0,15,36,1,2
0,0,0,0,566,34,1,1
0,0,0,0,5,85,2,2
0,0,0,0,761,25,2,2
0,0,0,0,691,33,2,2
0,0,0,0,221,4,1,2
0,0,0,0,773,86,1,2
0,0,0,0,407,36,2,2
0,0,0,0,122,36,2,1
0,0,0,0,691,35,2,2
0,0,0,0,356,4,2,1
0,0,0,0,573,25,2,2
0,0,0,0,229,4,2,2
0,0,0,0,257,85,1,2
0,0,0,0,179,25,2,2
0,0,0,0,573,95,2,2
0,0,0,0,172,64,2,1
0,0,0,0,654,87,2,1
0,0,0,0,472,58,1,1
0,0,0,0,179,45,2,2
0,0,0,0,21,4,1,2
0,0,0,0,158,4,1,1
0,0,0,0,257,4,1,2
0,0,0,0,179,20,2,2
0,0,0,0,212,34,2,1
0,0,0,0,530,34,1,1
0,0,0,0,712,51,1,1
0,0,0,0,27,45,1,2
0,0,0,0,273,25,1,2
0,0,0,0,766,35,1,1
0,0,0,0,572,4,1,1
0,0,0,0,665,25,2,2
0,0,0,0,773,34,1,2
0,0,0,0,471,49,1,2
0,0,0,0,85,33,1,2
0,0,0,0,171,25,2,2
0,0,0,0,351,25,2,2
0,0,0,0,89,35,2,2
0,0,0,0,233,4,2,2
0,0,0,0,587,45,1,2
0,0,0,0,786,51,1,1
0,0,0,0,428,4,2,1
0,0,0,0,331,45,2,2
0,0,0,0,667,25,2,2
0,0,0,0,747,25,1,2
0,0,0,0,506,4,1,1
0,0,0,0,781,20,2,2
0,0,0,0,675,33,1,2
0,0,0,0,647,35,2,2
0,0,0,0,124,36,1,1
0,0,0,0,654,64,2,1
0,0,0,0,213,34,1,2
0,0,0,0,300,25,1,1
0,0,0,0,89,51,2,2
0,0,0,0,406,25,1,1
0,0,0,0,162,34,1,1
0,0,0,0,755,34,2,2
0,0,0,0,534,34,1,1
0,0,0,0,584,45,1,1
0,0,0,0,556,33,1,1
0,0,0,0,54,35,1,1
0,0,0,0,118,36,1,1
0,0,0,0,335,75,2,2
0,0,0,0,496,20,2,1
0,0,0,0,547,71,2,2
0,0,0,0,291,74,1,2
0,0,0,0,244,35,2,1
0,0,0,0,751,20,2,2
0,0,0,0,232,64,1,1
0,0,0,0,516,4,2,1
0,0,0,0,105,64,1,2
0,0,0,0,252,20,2,1
0,0,0,0,14,20,1,1
0,0,0,0,682,51,1,1
0,0,0,0,457,20,2,2
0,0,0,0,123,25,1,2
0,0,0,0,781,33,2,2
0,0,0,0,437,20,2,2
0,0,0,0,312,20,1,1
0,0,0,0,427,81,2,2
0,0,0,0,639,25,1,2
0,0,0,0,364,33,2,1
0,0,0,0,439,25,2,2
0,0,0,0,236,34,2,1
0,0,0,0,238,4,2,1
0,0,0,0,300,20,1,1
0,0,0,0,744,35,2,1
0,0,0,0,185,20,1,2
0,0,0,0,280,51,2,1
0,0,0,0,46,25,1,1
0,0,0,0,635,35,1,2
0,0,0,0,521,49,2,2
0,0,0,0,314,58,2,1
0,0,0,0,382,4,1,1
0,0,0,0,560,74,2,1
0,0,0,0,330,85,2,1
0,0,0,0,526,33,2,1
0,0,0,0,606,4,1,1
0,0,0,0,769,20,2,2
0,0,0,0,656,4,1,1
