woekers,ks,Ki,find
107.0,1,0.2694982503663434,0
100.0,2,1.5119515752603436,0
105.0,2,1.6646424000359346,1
117.0,3,1.9174166833685078,0
111.0,3,1.97436439242234,0
99.0,3,1.9938112879829766,0
113.0,3,2.0242037335175374,1
118.0,4,2.1139379774233116,0
97.0,5,2.273164842982579,0
119.0,5,2.3046217556878634,0
112.0,5,2.3342161913830286,0
90.0,5,2.407689566429056,0
79.0,6,2.464070301587716,1
115.0,6,2.554216880853997,0
120.0,7,2.577058508786973,0
116.0,7,2.577058508786973,0
106.0,8,2.6536284407934225,0
109.0,8,2.711331924797743,0
93.0,7,2.7201513597277653,1
108.0,8,2.736514936437635,0
95.0,9,2.745395647403005,0
101.0,9,2.757076322359592,0
80.0,8,2.7946878286766488,1
102.0,9,2.8485330463112284,0
114.0,10,2.864273096650642,0
103.0,10,2.903322122112243,0
110.0,13,3.060440169699409,0
104.0,13,3.0909581149925938,1
81.0,12,3.0912761167956866,0
73.0,11,3.111198322118417,0
91.0,12,3.1275043793801074,0
82.0,13,3.149491944342154,0
89.0,15,3.2668859437439854,0
76.0,13,3.318460697889482,0
61.0,15,3.335518618202133,0
67.0,17,3.3751229109577205,0
68.0,16,3.3965003811334453,0
92.0,17,3.422911402607756,0
52.0,14,3.428657204854069,0
96.0,17,3.4334921517842742,0
98.0,17,3.46341263822729,0
43.0,16,3.482403269803952,0
94.0,17,3.4953162120871495,1
88.0,17,3.568738748972724,1
86.0,20,3.574491034317842,1
4.0,13,3.593674400529893,0
84.0,17,3.6212376807184468,0
66.0,17,3.634577385522962,0
77.0,20,3.6756351949598134,0
70.0,17,3.679250529779909,0
56.0,16,3.7040785517248827,0
64.0,16,3.7106739706121497,0
22.0,15,3.711572877239851,0
75.0,21,3.729647010218863,0
87.0,19,3.7355236215627547,0
71.0,20,3.752811762639025,0
78.0,19,3.8038909636120444,0
63.0,20,3.832058746296468,0
83.0,20,3.834240460071337,1
85.0,20,3.8458186283202993,0
54.0,17,3.850648116317779,0
69.0,20,3.8511307056670887,0
21.0,18,3.8729760649505334,0
45.0,19,3.898814893935562,0
74.0,20,3.9157062067030655,0
42.0,20,4.0145528822297045,0
62.0,22,4.024449539339637,0
50.0,20,4.064979285512965,0
34.0,20,4.1096431243838625,0
23.0,15,4.136584125609448,0
47.0,20,4.15130948088957,0
27.0,20,4.15723103632527,0
58.0,20,4.166814720084284,0
57.0,20,4.173829788557531,0
46.0,19,4.216383963388396,0
9.0,20,4.25498318657216,0
59.0,21,4.257775813282607,0
51.0,20,4.299691494257636,0
28.0,21,4.306651334512163,0
5.0,19,4.307493636657511,0
1.0,20,4.359959485354891,0
25.0,20,4.380452112166444,0
53.0,20,4.397347667349106,0
37.0,20,4.456081374638567,0
12.0,20,4.478622851934224,0
44.0,21,4.4890795646851585,0
49.0,20,4.620840091697204,0
26.0,20,4.635078457558033,0
60.0,20,4.666734993688206,0
33.0,20,4.766572465672003,0
30.0,25,4.838076376458625,0
13.0,20,4.854187613738775,0
72.0,20,4.8900839613017375,1
55.0,20,5.242354955744277,1
6.0,20,5.269765015984157,0
19.0,23,5.460028635173173,0
31.0,26,5.50250353882807,0
48.0,26,5.544292097776867,1
65.0,20,5.590359913416398,1
36.0,23,5.707684829654606,0
18.0,23,6.459106258092608,0
41.0,26,7.342374531896224,0
29.0,26,7.347606699400079,0
40.0,23,8.232725376044955,1
38.0,26,8.949142595922343,1
7.0,26,9.620278911039216,0
16.0,26,9.72013238807237,0
15.0,21,10.083785983013756,0
35.0,25,10.238912072934733,1
39.0,24,10.75877627759535,1
17.0,20,10.785863168043734,0
8.0,26,11.079437160489931,0
32.0,23,11.271526005833028,1
24.0,23,12.291932550777059,0
2.0,26,12.358507802984771,0
20.0,20,15.333013868032909,1
11.0,23,20.71353584729108,1
14.0,20,23.86622107996321,1
3.0,20,24.99907533596575,1
10.0,26,25.075398126321133,1
