workers,ks,KKKj,find
107.0,1,0.6735530325846903,0
120.0,4,4.788363533099545,0
115.0,8,5.927564487488013,0
100.0,2,6.797709923288135,0
118.0,3,6.922854890720425,0
97.0,5,7.167175252436729,0
114.0,9,7.836512761911564,0
110.0,11,8.0773844090292,0
4.0,14,8.199699979910097,0
9.0,17,8.737852135555991,0
89.0,14,11.164170169272445,0
80.0,11,11.386421758771895,0
50.0,21,11.649671619481436,0
42.0,21,11.679892676476321,0
56.0,16,11.770288859165927,0
25.0,25,11.918908148602435,0
26.0,21,12.05393710335007,0
105.0,5,12.669046324354209,0
68.0,16,13.366645480490119,0
45.0,21,13.745582900250922,0
20.0,19,13.89903111181522,0
35.0,21,13.956195535788762,0
113.0,8,14.77190736681662,1
119.0,10,14.828585218476054,0
75.0,21,15.449047020136867,0
62.0,19,15.563904810169161,0
22.0,19,15.622356733758645,0
58.0,21,15.653766593844507,0
28.0,21,15.834844910661094,0
11.0,22,15.966530729399917,0
33.0,23,16.158693150313226,0
30.0,26,16.184739225140184,0
111.0,5,16.257772450496383,0
95.0,7,16.415619545754232,0
108.0,6,16.47258300080766,1
112.0,7,16.48981028474352,0
90.0,8,16.552365687701492,0
93.0,8,16.555682469026497,1
101.0,10,16.60673721239834,0
109.0,10,16.670236259090032,1
116.0,10,16.67591441193266,0
102.0,10,16.680233498314422,1
104.0,11,16.69514130085106,0
106.0,11,16.747335288479945,0
99.0,11,16.821487503087972,0
67.0,14,16.914680371578285,0
81.0,14,17.005427283907824,0
86.0,17,17.01886309519547,0
79.0,12,17.020480298612313,0
103.0,13,17.071627785634163,1
66.0,16,17.105406111083806,0
70.0,14,17.11898205985633,0
91.0,13,17.138765216463213,0
87.0,18,17.173073637730223,0
64.0,16,17.19446610561413,0
117.0,16,17.19782685631221,1
96.0,15,17.217673437267493,0
94.0,14,17.264495197369186,0
71.0,24,17.304378234438303,0
92.0,18,17.311857969900718,0
61.0,17,17.32239902672941,0
78.0,21,17.370765314221185,0
84.0,17,17.39505887649504,0
88.0,20,17.464905147481172,1
98.0,21,17.473865695040907,1
83.0,21,17.513286153863415,0
3.0,28,17.52465945993184,0
82.0,21,17.52868884357941,1
76.0,21,17.596095970555865,1
44.0,21,17.70860639309079,0
85.0,21,17.73542258657886,1
77.0,29,17.749204565368252,1
51.0,26,17.764773570355466,0
37.0,25,17.771073377446346,0
73.0,26,17.77823895554037,1
69.0,27,17.78131984936583,1
74.0,26,17.78533183816478,1
14.0,26,17.817117684095873,0
46.0,21,17.8684870658018,0
60.0,21,17.92583921650088,0
65.0,24,17.94347134732352,0
23.0,21,17.946041784196485,0
13.0,21,17.96849277437228,0
53.0,27,18.01137218489123,0
39.0,26,18.075373830985374,0
63.0,21,18.12349026933421,1
49.0,29,18.134160003162012,0
57.0,28,18.141203476691317,0
52.0,26,18.19278494307517,1
59.0,30,18.21796511808024,1
19.0,26,18.226953859461275,0
6.0,21,18.25916021423096,0
31.0,27,18.431499116675646,0
72.0,26,18.496143772451166,1
38.0,28,18.507421987214332,0
48.0,30,18.618376111931624,1
55.0,28,18.82973012832526,1
10.0,26,18.964523309642754,0
18.0,26,19.087819732277204,0
47.0,26,19.100123249467064,1
32.0,28,19.525446249870946,0
54.0,28,19.545530852208636,1
41.0,26,19.63457826053829,0
29.0,29,19.665933653082774,0
43.0,30,20.561484854270763,1
7.0,26,20.861134393668344,0
40.0,28,20.92938605473601,1
8.0,29,21.43323971214802,0
34.0,26,21.482026223377915,1
36.0,29,22.244775528437614,1
24.0,30,23.283873442547723,0
2.0,30,23.286821573006314,0
27.0,28,23.298479295405397,1
21.0,26,25.252260737031577,1
17.0,30,26.555606672662183,1
15.0,30,26.921931401392634,1
16.0,30,28.71155290376212,1
12.0,26,30.459222397174948,1
1.0,29,32.0352044884984,1
5.0,30,32.100698136645526,1
